# generated by scripts/fetch-space.ts from Wikidata (P619 time of spacecraft launch)
# spaceflights with at least 30 Wikipedia sitelinks
Apollo 10 Launch,05/18,1969
Apollo 11 Launch,07/16,1969
Apollo 12 Launch,11/14,1969
Apollo 13 Launch,04/11,1970
Apollo 14 Launch,01/31,1971
Apollo 15 Launch,07/26,1971
Apollo 16 Launch,04/16,1972
Apollo 17 Launch,12/07,1972
Apollo 4 Launch,11/09,1967
Apollo 5 Launch,01/22,1968
Apollo 6 Launch,04/04,1968
Apollo 7 Launch,10/11,1968
Apollo 8 Launch,12/21,1968
Apollo 9 Launch,03/03,1969
Artemis I Launch,11/16,2022
Artemis II Launch,04/01,2026
BepiColombo Launch,10/20,2018
Cassini−Huygens Launch,10/15,1997
Chandrayaan-3 Launch,07/14,2023
Chang'e 5 Launch,11/23,2020
Chang'e 6 Launch,05/03,2024
Crew Dragon Demo-2 Launch,05/30,2020
Double Asteroid Redirection Test Launch,11/24,2021
ExoMars Launch,03/14,2016
Gemini 1 Launch,04/08,1964
Gemini 10 Launch,07/18,1966
Gemini 12 Launch,11/11,1966
Gemini 3 Launch,03/23,1965
Gemini 4 Launch,06/03,1965
Gemini 5 Launch,08/21,1965
Gemini 6A Launch,12/15,1965
Gemini 7 Launch,12/04,1965
Gemini 8 Launch,03/16,1966
Gemini 9A Launch,06/03,1966
Genesis Launch,08/08,2001
Hayabusa Launch,05/09,2003
Hayabusa2 Launch,12/03,2014
Inspiration4 Launch,09/16,2021
Luna 16 Launch,09/12,1970
Mariner 3 Launch,11/05,1964
Mars Polar Lander Launch,01/03,1999
Mercury-Atlas 6 Launch,02/20,1962
Mercury-Redstone 3 Launch,05/05,1961
OSIRIS-REx Launch,09/08,2016
Shenzhou 10 Launch,06/11,2013
Shenzhou 5 Launch,10/15,2003
Shenzhou 6 Launch,10/12,2005
Shenzhou 7 Launch,09/25,2008
Shenzhou 9 Launch,06/16,2012
Soyuz 1 Launch,04/23,1967
Soyuz 11 Launch,06/06,1971
Soyuz 3 Launch,10/26,1968
Soyuz 9 Launch,06/01,1970
Soyuz TMA-08M Launch,03/28,2013
Stardust Launch,02/07,1999
STS-1 Launch,04/12,1981
STS-100 Launch,04/19,2001
STS-101 Launch,05/19,2000
STS-102 Launch,03/08,2001
STS-103 Launch,12/20,1999
STS-105 Launch,08/10,2001
STS-106 Launch,09/08,2000
STS-107 Launch,01/16,2003
STS-108 Launch,12/05,2001
STS-110 Launch,04/08,2002
STS-111 Launch,06/05,2002
STS-112 Launch,10/07,2002
STS-113 Launch,11/24,2002
STS-114 Launch,07/26,2005
STS-115 Launch,09/09,2006
STS-116 Launch,12/10,2006
STS-117 Launch,06/08,2007
STS-118 Launch,08/08,2007
STS-119 Launch,03/15,2009
STS-120 Launch,10/23,2007
STS-121 Launch,07/04,2006
STS-122 Launch,02/07,2008
STS-123 Launch,03/11,2008
STS-124 Launch,05/31,2008
STS-125 Launch,05/11,2009
STS-126 Launch,11/15,2008
STS-127 Launch,07/15,2009
STS-128 Launch,08/29,2009
STS-129 Launch,11/16,2009
STS-130 Launch,02/08,2010
STS-131 Launch,04/05,2010
STS-132 Launch,05/14,2010
STS-133 Launch,02/24,2011
STS-134 Launch,05/16,2011
STS-135 Launch,07/08,2011
STS-2 Launch,11/12,1981
STS-26 Launch,09/29,1988
STS-27 Launch,12/02,1988
STS-3 Launch,03/22,1982
STS-31 Launch,04/24,1990
STS-4 Launch,06/27,1982
STS-41-B Launch,02/03,1984
STS-41-C Launch,04/06,1984
STS-41-D Launch,08/30,1984
STS-41-G Launch,10/05,1984
STS-5 Launch,11/11,1982
STS-51-F Launch,07/29,1985
STS-51-J Launch,10/03,1985
STS-51-L Launch,01/28,1986
STS-6 Launch,04/04,1983
STS-7 Launch,06/18,1983
STS-8 Launch,08/30,1983
STS-88 Launch,12/04,1998
STS-9 Launch,11/28,1983
STS-92 Launch,10/11,2000
STS-93 Launch,07/23,1999
STS-95 Launch,10/29,1998
STS-97 Launch,12/01,2000
STS-98 Launch,02/07,2001
Tianwen-1 Launch,07/23,2020
Viking 1 Launch,08/20,1975
Viking 2 Launch,09/09,1975
Voskhod 1 Launch,10/12,1964
Voskhod 2 Launch,03/18,1965
Vostok 1 Launch,04/12,1961
Vostok 2 Launch,08/06,1961
Vostok 3 Launch,08/11,1962
Vostok 4 Launch,08/12,1962
Vostok 5 Launch,06/14,1963
Vostok 6 Launch,06/16,1963
Yinghuo-1 Launch,11/08,2011
