# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
# capped at the 150 most populous; 60 further dated place(s) omitted
"Capitán Sarmiento, Buenos Aires' Birthday",12/21,1961
"General Belgrano, Buenos Aires' Birthday",08/01,1891
"General Conesa, Buenos Aires' Birthday",12/20,1839
"Piñeiro, Buenos Aires' Birthday",04/19,1893
"Ranelagh, Buenos Aires' Birthday",04/30,1911
Adolfo Gonzales Chaves Partido's Birthday,06/20,1916
Adolfo Gonzales Chaves' Birthday,06/20,1906
Alberti's Birthday,10/12,1886
Aluminé's Birthday,10/20,1915
Ancasti's Birthday,09/26,1735
Andacollo's Birthday,10/26,1939
Arroyito's Birthday,11/23,1778
Avellaneda's Birthday,04/07,1852
Ayacucho Partido's Birthday,07/19,1865
Ayacucho's Birthday,06/22,1866
Azul's Birthday,12/16,1832
Bahía Blanca Partido's Birthday,04/11,1928
Balcarce Partido's Birthday,08/31,1865
Balcarce's Birthday,06/22,1876
Baradero's Birthday,07/25,1615
Belgrano's Birthday,11/23,1855
Bella Vista's Birthday,06/03,1825
Benito Juárez Partido's Birthday,10/31,1867
Bolívar Partido's Birthday,03/02,1878
Brandsen Partido's Birthday,10/21,1875
Brinkmann's Birthday,12/30,1892
Buenos Aires' Birthday,06/21,1580
Campana's Birthday,06/14,1885
Candelaria's Birthday,02/02,1627
Carlos Tejedor's Birthday,01/03,1905
Caseros' Birthday,02/21,1892
Caucete's Birthday,12/20,1777
Centenario Municipality's Birthday,10/31,1995
Chajarí's Birthday,05/28,1872
Chascomús' Birthday,05/30,1779
Chivilcoy's Birthday,10/24,1854
Chos Malal's Birthday,08/04,1887
Cipolletti Municipality's Birthday,10/30,1987
Colón's Birthday,04/12,1863
Colonia Elisa's Birthday,05/29,1909
Concepción's Birthday,09/21,1796
Concordia's Birthday,11/29,1831
Coronel Dorrego's Birthday,04/09,1890
Coronel Pringles Partido's Birthday,07/05,1882
Coronel Pringles' Birthday,09/24,1882
Coronel Rosales Partido's Birthday,10/15,1948
Coronel Suárez's Birthday,05/28,1883
Corral de Bustos' Birthday,11/14,1901
Dolores' Birthday,08/21,1817
El Bolsón's Birthday,01/26,1926
El Calafate's Birthday,12/07,1927
El Maitén's Birthday,12/22,1942
El Sauzalito's Birthday,10/26,1976
Embarcación's Birthday,10/11,1911
Esquel's Birthday,02/25,1906
Ezeiza's Birthday,07/17,1885
Florencio Varela's Birthday,01/30,1891
Funes' Birthday,08/20,1875
General Juan Madariaga's Birthday,12/08,1907
General La Madrid District's Birthday,02/14,1890
General Pueyrredón Partido's Birthday,10/15,1879
Gerli's Birthday,03/30,1909
Greenwood Memorial Park & Funeral Home's Birthday,03/07,1810
Gregorio de Laferrere's Birthday,05/04,1911
Guaminí's Birthday,03/28,1883
Haedo's Birthday,11/11,1889
Ibicuy's Birthday,06/27,1951
Isidro Casanova's Birthday,05/15,1911
Itatí's Birthday,12/07,1615
Jardín América's Birthday,05/07,1946
José C. Paz's Birthday,07/13,1913
Justiniano Posse's Birthday,03/01,1911
La Plata's Birthday,11/19,1882
La Rioja's Birthday,05/20,1591
Lanús' Birthday,10/20,1888
Laprida Partido's Birthday,09/16,1889
Larroque's Birthday,12/01,1909
Las Heras' Birthday,10/06,1914
Las Toninas' Birthday,02/20,1960
Lobería Partido's Birthday,12/25,1839
Longchamps' Birthday,08/10,1910
Los Polvorines' Birthday,12/17,1908
Mar Chiquita Partido's Birthday,12/25,1839
Mar de Ajó's Birthday,12/21,1935
Mar del Plata's Birthday,02/10,1874
Mar del Tuyú's Birthday,10/24,1945
Mayor Buratovich's Birthday,04/27,1913
Merlo's Birthday,08/28,1755
Miramar's Birthday,09/20,1888
Monte Chingolo's Birthday,11/23,1815
Moreno's Birthday,10/25,1864
Necochea Partido's Birthday,10/12,1881
Neuquén Municipality's Birthday,12/19,1953
Neuquén's Birthday,09/12,1904
Olavarría's Birthday,11/25,1867
Ostende's Birthday,04/06,1913
Palpalá's Birthday,04/17,1948
Plottier Municipality's Birthday,07/12,1995
Plottier's Birthday,03/26,1935
Presidencia Roque Sáenz Peña's Birthday,03/01,1912
Puerto Madryn's Birthday,07/28,1865
Puerto Tirol's Birthday,08/06,1888
Punta Alta's Birthday,07/02,1898
Quitilipi's Birthday,11/30,1912
Rafael Calzada's Birthday,07/18,1909
Reconquista's Birthday,04/27,1872
Río Gallegos' Birthday,03/04,1873
Rivadavia Partido's Birthday,09/30,1910
Rosario's Birthday,08/05,1852
Salliqueló's Birthday,06/03,1903
Salta's Birthday,04/26,1582
San Bernardo del Tuyú's Birthday,01/04,1944
San Bernardo's Birthday,06/28,1933
San Carlos de Bolívar's Birthday,03/02,1878
San Cayetano's Birthday,10/24,1954
San Clemente del Tuyú's Birthday,11/23,1935
San Fernando del Valle de Catamarca's Birthday,06/05,1683
San Isidro's Birthday,10/14,1706
San Justo's Birthday,12/25,1856
San Nicolás de los Arroyos' Birthday,04/14,1748
San Pedro de Jujuy's Birthday,05/25,1883
San Pedro's Birthday,07/25,1907
Santa Fe's Birthday,11/25,1573
Santa Rosa de Calamuchita's Birthday,12/10,1877
Santa Rosa's Birthday,08/29,1911
Santa Teresita's Birthday,03/03,1946
Tafí Viejo's Birthday,05/03,1900
Tornquist Partido's Birthday,09/15,1905
Trelew's Birthday,10/20,1886
Trenel's Birthday,10/20,1906
Tres Algarrobos' Birthday,08/17,1901
Tres Arroyos Partido's Birthday,07/19,1865
Tres Arroyos' Birthday,04/24,1884
Tres de Febrero Partido's Birthday,10/15,1959
Ushuaia's Birthday,10/12,1884
Vedia's Birthday,05/23,1885
Venado Tuerto's Birthday,04/26,1884
Vicente López Partido's Birthday,12/21,1905
Victoria's Birthday,05/13,1810
Villa Adelina's Birthday,03/29,1909
Villa Constitución's Birthday,02/14,1858
Villa Dolores' Birthday,04/21,1853
Villa Domínico's Birthday,08/11,1894
Villa General Belgrano's Birthday,10/11,1932
Villa Gesell's Birthday,12/14,1931
Villa La Angostura's Birthday,05/15,1932
Villa María's Birthday,09/27,1867
Villa Regina's Birthday,11/07,1924
Villaguay's Birthday,11/20,1823
Villarino Partido's Birthday,07/28,1886
