# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Adelaide's Birthday,12/28,1836
Canberra's Birthday,03/12,1913
Lyndhurst's Birthday,02/20,1896
Melbourne's Birthday,08/30,1835
Mingela's Birthday,07/08,2016
Sapphire Central's Birthday,04/17,2020
Settlement of Risdon Cove's Birthday,09/12,1803
Settlement of Sullivans Cove's Birthday,02/21,1804
Sydney's Birthday,01/26,1788
Town of Pellew's Birthday,01/24,1981
