# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Ashmore and Cartier Islands' Birthday,05/10,1934
Australian Antarctic Territory's Birthday,06/13,1933
Australian Capital Territory's Birthday,01/01,1911
Christmas Island's Birthday,10/01,1958
Jervis Bay Territory's Birthday,04/21,1915
Northern Territory's Birthday,01/01,1911
South Australia's Birthday,12/28,1836
Tasmania's Birthday,12/03,1825
Victoria's Birthday,07/01,1851
Western Australia's Birthday,01/01,1901
