# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
"Alegria, Rio Grande do Sul's Birthday",12/31,1987
Abreu e Lima's Birthday,05/14,1982
Alecrim's Birthday,10/09,1963
Altamira's Birthday,11/06,1911
Amajari's Birthday,10/17,1995
Ananindeua's Birthday,01/03,1944
Aracaju's Birthday,03/17,1855
Araras' Birthday,08/15,1862
Araruama's Birthday,01/22,1890
Araucária's Birthday,02/11,1890
Araxá's Birthday,12/19,1865
Ariquemes' Birthday,11/21,1977
Atalaia do Norte's Birthday,12/19,1955
Bacabal's Birthday,04/16,1920
Balneário Camboriú's Birthday,07/20,1964
Barueri's Birthday,03/26,1949
Belford Roxo's Birthday,01/13,1944
Bento Gonçalves' Birthday,10/11,1890
Blumenau's Birthday,09/02,1850
Boa Vista's Birthday,07/09,1890
Brasília's Birthday,04/21,1960
Brusque's Birthday,08/04,1860
Cabo de Santo Agostinho's Birthday,02/15,1812
Cáceres' Birthday,10/06,1778
Cachoeirinha's Birthday,05/15,1966
Campinas' Birthday,07/14,1774
Campos dos Goytacazes' Birthday,03/28,1835
Canoas' Birthday,06/27,1939
Caraguatatuba's Birthday,04/20,1857
Cariacica's Birthday,12/30,1890
Catanduva's Birthday,04/14,1918
Caxias do Sul's Birthday,06/20,1890
Chapecó military colony's Birthday,11/16,1859
Chapecó's Birthday,08/25,1917
Codó's Birthday,04/16,1896
Colatina's Birthday,12/30,1921
Conselheiro Lafaiete's Birthday,09/19,1790
Coronel Fabriciano's Birthday,01/20,1949
Coronel Sapucaia's Birthday,12/31,1985
Criciúma's Birthday,01/06,1880
Crissiumal's Birthday,12/18,1954
Cubatão's Birthday,04/09,1832
Cuiabá's Birthday,04/08,1719
Curitiba's Birthday,03/29,1693
Derrubadas' Birthday,03/20,1992
Desemboque's Birthday,12/20,1849
Embu das Artes' Birthday,02/18,1959
Fazenda Rio Grande's Birthday,01/26,1990
Ferraz de Vasconcelos' Birthday,10/14,1953
Formosa's Birthday,08/01,1843
Fortaleza's Birthday,04/13,1726
Foz do Iguaçu's Birthday,06/10,1910
Francisco Morato's Birthday,03/21,1965
Franco da Rocha's Birthday,11/30,1944
Gastão Vidigal's Birthday,06/25,1925
Goiânia's Birthday,10/24,1933
Guarapuava's Birthday,12/09,1810
Guaratinguetá's Birthday,06/13,1630
Guarujá's Birthday,06/19,1934
Hortolândia's Birthday,05/19,1991
Ibirité's Birthday,03/01,1963
Imperatriz's Birthday,07/28,1852
Indaiatuba's Birthday,12/09,1830
Ipatinga's Birthday,04/29,1964
Itabuna's Birthday,07/28,1910
Itajaí's Birthday,06/15,1860
Itapipoca's Birthday,02/03,1823
Itaúna's Birthday,09/16,1901
Jaraguá do Sul's Birthday,07/25,1876
Joinville's Birthday,03/09,1851
Juazeiro do Norte's Birthday,07/22,1911
Jundiaí's Birthday,12/14,1655
Laras' Birthday,12/02,1919
Leme's Birthday,08/29,1895
Londrina's Birthday,12/10,1934
Luziânia's Birthday,12/13,1746
Macaé's Birthday,07/29,1813
Macapá's Birthday,02/04,1758
Maranguape's Birthday,11/17,1851
Maricá's Birthday,05/26,1814
Maringá's Birthday,05/10,1947
Maristela's Birthday,12/24,1948
Marituba's Birthday,09/22,1994
Mesquita's Birthday,09/25,1999
Monsenhor João Alexandre's Birthday,12/12,1953
Nilópolis' Birthday,08/21,1947
Niterói's Birthday,11/22,1573
Nova Iguaçu's Birthday,01/15,1833
Olinda's Birthday,03/22,1535
Ourinhos' Birthday,12/13,1918
Palhoça's Birthday,07/17,1793
Palmas' Birthday,05/20,1989
Paranaguá's Birthday,07/29,1648
Paranhos' Birthday,11/17,1987
Parnaíba's Birthday,08/14,1844
Pindamonhangaba's Birthday,07/10,1705
Poá's Birthday,01/01,1949
Poços de Caldas' Birthday,11/06,1872
Ponta Grossa's Birthday,09/15,1823
Porto Alegre's Birthday,03/26,1772
Queimados' Birthday,12/21,1990
Ribeirão Pires' Birthday,03/19,1953
Ribeirão Preto's Birthday,06/19,1856
Rio Branco's Birthday,12/28,1882
Rio de Janeiro's Birthday,03/21,1565
Rondonópolis' Birthday,12/10,1953
Santa Luzia's Birthday,03/18,1692
Santana de Caldas' Birthday,12/27,1948
Santarém's Birthday,06/22,1661
Santo André da Borda do Campo's Birthday,04/18,1553
Santo André's Birthday,11/30,1938
Santo Antônio de Jesus' Birthday,06/10,1880
São Caetano do Sul's Birthday,07/28,1877
São Carlos' Birthday,11/04,1857
São Gonçalo's Birthday,09/22,1890
São João de Meriti's Birthday,08/21,1947
São José do Rio Preto's Birthday,03/19,1852
São José dos Pinhais' Birthday,01/08,1853
São José's Birthday,03/19,1750
São Luís' Birthday,09/08,1612
São Mateus' Birthday,10/01,1544
São Paulo's Birthday,02/04,1554
Sapucaia do Sul's Birthday,11/14,1961
Serra's Birthday,11/16,1556
Sete Lagoas' Birthday,11/30,1880
Sobral's Birthday,07/05,1773
Suzano's Birthday,04/02,1949
Taubaté's Birthday,12/05,1645
Teófilo Otoni's Birthday,09/07,1853
Tubarão's Birthday,05/27,1870
Ubá's Birthday,07/03,1857
Uberaba's Birthday,03/02,1820
Uberlândia's Birthday,08/31,1888
Umuarama's Birthday,07/04,1955
Valinhos' Birthday,12/30,1953
Várzea Grande's Birthday,05/15,1867
Vespasiano's Birthday,12/27,1948
