# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
# capped at the 150 most populous; 130 further dated place(s) omitted
Abercorn's Birthday,06/25,1929
Andréville's Birthday,05/29,1903
Angliers' Birthday,05/24,1945
Authier's Birthday,09/20,1918
Baie-Trinité's Birthday,01/01,1955
Beaumont's Birthday,01/01,1973
Bishopton's Birthday,10/02,1917
Boyle's Birthday,12/31,1953
Brantford's Birthday,05/31,1877
Brébeuf's Birthday,06/04,1910
Bristol's Birthday,07/01,1855
Brome's Birthday,06/20,1923
Caledon's Birthday,01/01,1974
Calgary's Birthday,11/07,1884
Campbell's Bay's Birthday,02/23,1904
Cap-aux-Meules' Birthday,01/01,1950
Cap-Saint-Ignace's Birthday,10/03,1700
Champion's Birthday,05/27,1911
Chandler's Birthday,06/27,2001
Chapeau's Birthday,01/01,1874
Chartierville's Birthday,01/01,1879
Chatham-Kent's Birthday,01/01,1998
Chesterville's Birthday,12/18,1982
Cloridorme's Birthday,01/01,1855
Cold Lake's Birthday,12/31,1953
Dawson Creek's Birthday,01/06,1958
Dudswell's Birthday,10/11,1995
East Hereford's Birthday,07/01,1855
Edmonton's Birthday,01/09,1892
Esprit-Saint's Birthday,05/13,1972
Farnham's Birthday,01/01,1862
Franquelin's Birthday,01/01,1978
Gatineau's Birthday,11/18,1933
Grande Prairie's Birthday,04/30,1914
Guelph's Birthday,04/23,1827
Ham-Nord's Birthday,01/01,1864
Hamilton's Birthday,06/09,1846
Hay River's Birthday,06/27,1963
Hébertville-Station's Birthday,02/18,1903
Howick's Birthday,10/29,1915
Kamouraska's Birthday,04/01,1987
Kinnear's Mills' Birthday,07/01,1855
Kipling's Birthday,09/11,1909
L'Avenir's Birthday,07/01,1862
La Conception's Birthday,01/01,1882
La Patrie's Birthday,12/24,1997
La Présentation's Birthday,07/01,1855
La Rédemption's Birthday,01/01,1956
La Ronge's Birthday,05/03,1905
La Trinité-des-Monts' Birthday,01/01,1965
La Visitation-de-Yamaska's Birthday,02/02,1899
Labelle's Birthday,01/27,1973
Lac-Bouchette's Birthday,09/25,1971
Lac-Drolet's Birthday,01/01,1885
Launay's Birthday,05/18,1921
Legal's Birthday,02/20,1914
Les Éboulements' Birthday,07/01,1855
Les Escoumins' Birthday,05/05,1863
Les Hauteurs' Birthday,11/07,1918
Lévis' Birthday,05/18,1861
Lingwick's Birthday,07/01,1855
Lyster's Birthday,09/18,1976
Marston's Birthday,01/01,1874
Mascouche's Birthday,06/08,1845
Meadow Lake's Birthday,08/29,1931
Medicine Hat's Birthday,05/31,1894
Melfort's Birthday,08/01,1892
Milton's Birthday,05/17,1818
Minnedosa's Birthday,03/02,1883
Moffet's Birthday,01/01,1953
Montreal's Birthday,05/17,1642
Niagara Falls' Birthday,06/12,1903
Normandin's Birthday,03/10,1979
Notre-Dame-Auxiliatrice-de-Buckland's Birthday,01/01,1885
Ottawa's Birthday,01/01,1855
Padoue's Birthday,01/31,1911
Parksville's Birthday,06/19,1945
Percé's Birthday,01/01,1971
Pitt Meadows' Birthday,04/23,1914
Price's Birthday,03/03,1926
Prince Rupert's Birthday,03/10,1910
Quebec City's Birthday,07/03,1608
Quinte West's Birthday,01/01,1998
Red Deer's Birthday,05/31,1894
Richmond's Birthday,11/10,1879
Richmond Hill's Birthday,01/01,1873
Rivière-au-Renard's Birthday,07/01,1855
Saguenay's Birthday,02/18,2002
Saint-Alexandre-de-Kamouraska's Birthday,07/01,1855
Saint-Alexis-de-Matapédia's Birthday,07/01,1855
Saint-Bruno's Birthday,01/01,1886
Saint-Bruno-de-Kamouraska's Birthday,01/01,1887
Saint-Charles-Garnier's Birthday,01/01,1966
Saint-Cléophas' Birthday,05/19,1921
Saint-Côme's Birthday,01/01,1873
