# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Badajoz city's Birthday,03/26,1230
Chamartín's Birthday,11/14,1947
Eibar's Birthday,02/13,1346
Huesca's Birthday,12/02,1096
Langreo's Birthday,06/26,1986
Las Palmas de Gran Canaria's Birthday,07/03,1478
Pamplona city's Birthday,09/17,1423
Santa Cruz de Tenerife's Birthday,05/12,1494
Seville city's Birthday,11/30,1248
Teruel City's Birthday,10/08,1171
Viana's Birthday,02/08,1219
Zaragoza's Birthday,12/18,1118
