# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
# capped at the 150 most populous; 1665 further dated place(s) omitted
Alfortville's Birthday,04/01,1885
Ancenis-Saint-Géréon's Birthday,01/01,2019
Andrézieux-Bouthéon's Birthday,01/23,1965
Athis-Mons' Birthday,08/06,1817
Aubigny-Les Clouzeaux's Birthday,01/01,2016
Avranches' Birthday,01/01,2019
Bandraboua's Birthday,03/31,2011
Bandrele's Birthday,03/31,2011
Baugé-en-Anjou's Birthday,01/01,2016
Beauchamp's Birthday,03/30,1922
Beaupréau-en-Mauges' Birthday,12/15,2015
Belleville-en-Beaujolais' Birthday,01/01,2019
Béthune's Birthday,01/01,2008
Beuvry's Birthday,11/20,1997
Bihorel's Birthday,01/01,2014
Bois-Colombes' Birthday,03/17,1896
Bois-Guillaume-Bihorel's Birthday,01/01,2012
Bois-Guillaume's Birthday,01/01,2014
Bordeaux Métropole's Birthday,12/31,1966
Boulazac Isle Manoire's Birthday,01/01,2017
Bourgoin-Jallieu's Birthday,01/01,1967
Bressuire's Birthday,01/01,1973
Brissac Loire Aubance's Birthday,12/15,2016
Brunstatt-Didenheim's Birthday,01/01,2016
Cachan's Birthday,12/26,1922
Carentan les Marais' Birthday,01/01,2017
Chantonnay's Birthday,07/01,1972
Charleville-Mézières' Birthday,10/01,1966
Château-Gontier-sur-Mayenne's Birthday,01/01,2019
Châteaugiron's Birthday,01/01,1971
Chaumes-en-Retz's Birthday,01/01,2016
Chemillé-en-Anjou's Birthday,12/15,2015
Cherbourg-en-Cotentin's Birthday,01/01,2016
Cherbourg-Octeville's Birthday,02/28,2000
Chiconi's Birthday,03/31,2011
Chirongui's Birthday,03/31,2011
Claye-Souilly's Birthday,07/25,1839
Concarneau's Birthday,02/22,1959
Corbeil-Essonnes' Birthday,08/10,1951
Cosne-Cours-sur-Loire's Birthday,01/01,1973
Dembeni's Birthday,03/31,2011
Digoin's Birthday,02/26,1965
Dinan's Birthday,01/01,2018
Divatte-sur-Loire's Birthday,01/01,2016
Doué-en-Anjou's Birthday,12/30,2016
Dunkirk's Birthday,12/09,2010
Dzaoudzi's Birthday,03/31,2011
Enghien-les-Bains' Birthday,08/05,1850
Epagny Metz-Tessy's Birthday,01/01,2016
Équeurdreville-Hainneville's Birthday,01/01,1965
Évron's Birthday,01/01,2019
Évry-Courcouronnes' Birthday,01/01,2019
Faverges-Seythenex's Birthday,01/01,2016
Fillière's Birthday,01/01,2017
Gaillard's Birthday,08/03,1843
Gennes-Val-de-Loire's Birthday,01/01,2018
Grenelle's Birthday,10/22,1830
Guipry-Messac's Birthday,01/01,2016
Hénin-Beaumont's Birthday,01/01,1971
Héricourt's Birthday,01/01,2019
Isbergues' Birthday,01/01,1996
