# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Auvergne-Rhône-Alpes' Birthday,01/01,2016
Bourgogne-Franche-Comté's Birthday,01/01,2016
Brittany's Birthday,06/04,1960
Centre-Val de Loire's Birthday,06/04,1960
Corsica's Birthday,01/11,1970
French Guiana's Birthday,03/21,1946
French Southern and Antarctic Lands' Birthday,08/06,1955
Grand Est's Birthday,01/01,2016
Guadeloupe's Birthday,03/21,1946
Île-de-France's Birthday,06/04,1960
Martinique's Birthday,03/21,1946
Normandy's Birthday,01/01,2016
Nouvelle-Aquitaine's Birthday,01/01,2016
Pays de la Loire's Birthday,06/04,1960
Provence-Alpes-Côte d'Azur's Birthday,01/11,1970
Réunion's Birthday,03/21,1946
Saint Barthélemy's Birthday,07/15,2007
Saint-Martin's Birthday,02/21,2007
