# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Aberdeen City's Birthday,03/16,1975
Argyll and Bute's Birthday,04/01,1996
Cardiff's Birthday,04/01,1996
Dundee City's Birthday,04/01,1996
Fermanagh and Omagh's Birthday,04/01,2015
Flintshire's Birthday,04/01,1996
Gwynedd's Birthday,04/01,1996
Mid Ulster's Birthday,04/01,2015
Neath Port Talbot's Birthday,04/01,1996
North Lanarkshire's Birthday,04/01,1996
Perth and Kinross' Birthday,04/01,1996
Rhondda Cynon Taf's Birthday,04/01,1996
South Ayrshire's Birthday,04/01,1975
The Vale of Glamorgan's Birthday,04/01,1996
Torfaen's Birthday,04/01,1974
Wrexham County Borough's Birthday,04/01,1996
