# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Bács-Kiskun County's Birthday,02/01,1950
Baranya County's Birthday,02/01,1950
Békés County's Birthday,03/16,1950
Borsod-Abaúj-Zemplén County's Birthday,03/16,1950
Budapest's Birthday,11/17,1873
Csongrád-Csanád County's Birthday,03/16,1950
Fejér County's Birthday,02/01,1950
Győr-Moson-Sopron County's Birthday,03/16,1950
Hajdú-Bihar County's Birthday,03/16,1950
Heves County's Birthday,02/01,1950
Jász-Nagykun-Szolnok County's Birthday,02/01,1950
Komárom-Esztergom County's Birthday,03/16,1950
Nógrád County's Birthday,02/01,1950
Pest County's Birthday,02/01,1950
Somogy County's Birthday,02/01,1950
Szabolcs-Szatmár-Bereg County's Birthday,03/16,1950
Tolna County's Birthday,02/01,1950
Vas County's Birthday,02/01,1950
Veszprém County's Birthday,03/16,1950
Zala County's Birthday,03/16,1950
