Advisory Centre on World Trade Organization Law's Birthday,11/30,1999
African Development Bank's Birthday,09/10,1964
African Union's Birthday,07/09,2002
Allied Control Council's Birthday,06/05,1945
Arab Cooperation Council's Birthday,02/16,1989
Arab League's Birthday,03/22,1945
Arab Maghreb Union's Birthday,02/17,1989
Arctic Council's Birthday,09/19,1996
ASEAN's Birthday,08/08,1967
Asia-Pacific Fishery Commission's Birthday,11/09,1948
Asian Development Bank's Birthday,12/19,1966
Asian Infrastructure Investment Bank's Birthday,12/25,2015
Asian Institute of Technology's Birthday,01/30,2012
Association of Caribbean States' Birthday,07/24,1994
Association of World Election Bodies' Birthday,10/14,2013
Bank for International Settlements' Birthday,05/17,1930
Belgium-Luxembourg Economic Union's Birthday,12/22,1922
Black Sea Trade and Development Bank's Birthday,01/24,1997
British-Irish Council's Birthday,12/02,1999
Caribbean Development Bank's Birthday,01/26,1970
Center for International Forestry Research's Birthday,03/05,1993
Central Commission for Navigation on the Rhine's Birthday,04/14,1967
Central Treaty Organization's Birthday,02/24,1955
CERN's Birthday,09/29,1954
Collective Security Treaty Organization's Birthday,02/14,1992
Convention on the Conservation of Antarctic Marine Living Resources' Birthday,04/07,1982
Council of Europe's Birthday,05/05,1949
Craiova Group's Birthday,04/24,2015
Danube Commission (1948)'s Birthday,05/11,1949
EUMETSAT's Birthday,06/19,1986
Eurasian Development Bank's Birthday,01/12,2006
Eurasian Economic Union's Birthday,01/01,2015
European Defence Agency's Birthday,07/12,2004
European Free Trade Association's Birthday,06/01,2002
European Investment Bank's Birthday,01/01,1958
European Space Agency's Birthday,10/30,1980
European Telecommunications Satellite Organization's Birthday,09/01,1985
European Union's Birthday,07/23,1952
Food and Agriculture Organization's Birthday,06/29,2004
Foreign relations of Indonesia's Birthday,12/04,1987
Foreign relations of Iran's Birthday,07/29,2024
Foreign relations of Israel's Birthday,02/09,2011
Foreign relations of Syria's Birthday,08/01,1956
Foreign relations of Thailand's Birthday,10/05,1972
Foreign relations of Yemen's Birthday,03/15,1962
Foreign relations of Zambia's Birthday,12/25,1991
French Union's Birthday,10/27,1946
G7's Birthday,03/25,1973
Group of 77's Birthday,06/15,1964
GUAM Organization for Democracy and Economic Development's Birthday,10/10,1997
Gulf Cooperation Council's Birthday,05/25,1981
Indian Ocean Rim Association's Birthday,03/06,1997
Indian Ocean Tuna Commission's Birthday,03/27,1996
International Atomic Energy Agency's Birthday,07/29,1957
International Authority for the Ruhr's Birthday,04/28,1949
International Bureau of Weights and Measures' Birthday,05/20,1875
International Centre for Settlement of Investment Disputes' Birthday,10/14,1966
International Civil Aviation Organization's Birthday,04/04,1947
International Cospas-Sarsat Programme's Birthday,07/01,1988
International Council for the Exploration of the Sea's Birthday,07/22,1968
International Court of Justice's Birthday,06/26,1945
International Criminal Court's Birthday,07/01,2002
International Criminal Tribunal for Rwanda's Birthday,11/08,1994
International Criminal Tribunal for the former Yugoslavia's Birthday,05/25,1993
International Development Law Organization's Birthday,01/01,1983
International Energy Agency's Birthday,11/18,1974
International Finance Corporation's Birthday,07/20,1956
International Fund for Agricultural Development's Birthday,12/15,1977
International Hydrographic Organization's Birthday,06/21,1921
International Institute for Democracy and Electoral Assistance's Birthday,02/28,1995
International Labour Organization's Birthday,04/11,1919
International Maritime Organization's Birthday,10/02,1983
International Monetary Fund's Birthday,07/22,1944
International Renewable Energy Agency's Birthday,07/08,2010
International Residual Mechanism for Criminal Tribunals' Birthday,12/22,2010
International Seabed Authority's Birthday,11/16,1994
International Solar Alliance's Birthday,11/30,2015
International Telecommunication Union's Birthday,01/01,1949
International Union for Conservation of Nature's Birthday,10/05,1948
International Union of Railways' Birthday,10/17,1922
International Whaling Commission's Birthday,12/02,1946
Interpol's Birthday,09/07,1923
Korean Peninsula Energy Development Organization's Birthday,03/15,1995
Latin Union's Birthday,05/15,1954
League of Nations' Birthday,01/10,1920
Mekong River Commission's Birthday,04/05,1995
Multilateral Investment Guarantee Agency's Birthday,04/12,1988
NATO's Birthday,04/04,1949
Nordic Council's Birthday,03/24,1962
North/South Ministerial Council's Birthday,12/13,1999
Nuclear Energy Agency's Birthday,02/01,1958
OECD's Birthday,04/16,1948
OPEC Fund for International Development's Birthday,01/28,1976
OPEC's Birthday,09/14,1960
Organisation for Co‑operation between Railways' Birthday,06/28,1956
Organisation for Joint Armament Cooperation's Birthday,11/12,1996
Organisation for the Prohibition of Chemical Weapons' Birthday,04/29,1997
Organisation internationale de la Francophonie's Birthday,03/20,1970
Organisation of African Unity's Birthday,05/25,1963
"Organisation of African, Caribbean and Pacific States' Birthday",06/06,1975
Organisation of Eastern Caribbean States' Birthday,01/21,2011
Organisation of Islamic Cooperation's Birthday,09/25,1969
Organization for Security and Co-operation in Europe's Birthday,08/01,1975
Organization of American States' Birthday,04/30,1948
Organization of the Black Sea Economic Cooperation's Birthday,06/25,1992
Organization of Turkic States' Birthday,10/03,2009
Pacific Islands Forum Fisheries Agency's Birthday,08/09,1979
Politics of Hungary's Birthday,10/23,1989
Shanghai Cooperation Organisation's Birthday,09/19,2003
South Asian Association for Regional Cooperation's Birthday,01/01,2006
South Centre (organization)'s Birthday,07/31,1995
Southeast Asia Treaty Organization's Birthday,09/08,1954
Southeast Asian Ministers of Education Organization's Birthday,11/30,1965
Synchrotron-Light for Experimental Science and Applications in the Middle East's Birthday,05/16,2017
UNESCO's Birthday,11/16,1945
UNICEF's Birthday,12/11,1946
Union for the Mediterranean's Birthday,07/13,2008
Union of African States' Birthday,11/23,1958
Union of South American Nations' Birthday,03/11,2011
Union State's Birthday,03/13,2025
United Nations Atomic Energy Commission's Birthday,01/24,1946
United Nations Economic and Social Council's Birthday,06/26,1945
United Nations Human Rights Council's Birthday,03/15,2006
United Nations Industrial Development Organization's Birthday,11/17,1966
United Nations Office at Vienna's Birthday,01/01,1980
United Nations Office for Disaster Risk Reduction's Birthday,12/22,1999
United Nations Office on Drugs and Crime's Birthday,09/29,2003
United Nations Security Council's Birthday,10/24,1945
Universal Postal Union's Birthday,10/09,1874
Visegrád Group's Birthday,02/15,1991
West African Development Bank's Birthday,11/14,1973
West Nordic Council's Birthday,09/24,1985
Western and Central Pacific Fisheries Commission's Birthday,06/19,2004
Western European Union's Birthday,10/23,1954
World Association of Nuclear Operators' Birthday,05/15,1989
World Bank Group's Birthday,07/04,1944
World Customs Organization's Birthday,01/26,1953
World Food Programme's Birthday,12/19,1961
World Health Organization's Birthday,04/07,1948
World Intellectual Property Organization's Birthday,04/26,1970
World Maritime University's Birthday,07/04,1983
World Meteorological Organization's Birthday,03/23,1950
World Organisation for Animal Health's Birthday,01/25,1924
World Trade Organization's Birthday,01/01,1995
