# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Algodones' Birthday,07/27,1894
Arizpe's Birthday,08/22,1646
Cancun's Birthday,04/20,1970
Chetumal's Birthday,05/05,1898
Chihuahua City's Birthday,10/12,1709
Chilpancingo de los Bravo's Birthday,11/01,1591
Ciudad Acuña's Birthday,12/27,1877
Ciudad Cuauhtémoc's Birthday,11/18,1943
Ciudad del Carmen's Birthday,07/16,1717
Colima's Birthday,01/30,1527
Córdoba's Birthday,04/27,1618
Culiacán's Birthday,10/09,1531
Downtown Cancún's Birthday,04/20,1970
Guadalajara's Birthday,02/24,1542
Guadalupe's Birthday,01/04,1716
La Barca's Birthday,05/14,1553
La Paz's Birthday,05/13,1535
León de Los Aldama's Birthday,01/30,1576
Loreto's Birthday,10/25,1697
Manzanillo's Birthday,08/03,1527
Mérida's Birthday,01/16,1542
Mexicali's Birthday,03/14,1901
Mexico City's Birthday,03/21,1325
Monterrey's Birthday,09/20,1596
Nuevo Progreso's Birthday,09/19,1967
Piedras Negras' Birthday,06/15,1850
Puerto Vallarta's Birthday,12/12,1851
Reynosa's Birthday,03/14,1749
Rosarito's Birthday,05/14,1885
San Cristóbal de Las Casas' Birthday,04/10,1528
San Francisco de Campeche's Birthday,10/14,1540
Santiago de Querétaro's Birthday,08/04,1531
Santiago Maravatío's Birthday,02/08,1540
Tecate's Birthday,03/14,1861
Tenochtitlan's Birthday,03/09,1325
Toluca de Lerdo's Birthday,03/29,1527
Torreón's Birthday,09/25,1893
Villahermosa's Birthday,07/04,1564
Zapopan's Birthday,12/18,1541
