# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
"Blagoveschenskoe, Nizhny Novgorod Region's Birthday",08/02,1617
"Koltsovo, Yekaterinburg's Birthday",03/16,1934
"Nezhinka, Orenburg Oblast's Birthday",11/21,1742
Adlersky City District's Birthday,10/16,1934
Adygeysk's Birthday,09/27,1969
Ana-Iurt's Birthday,09/23,2008
Arkhangelskoye's Birthday,03/01,1753
Arzgir's Birthday,08/19,1876
Balakhonovskoe's Birthday,10/20,1866
Berezniki's Birthday,03/20,1932
Chebakovo's Birthday,02/02,1965
Gáiduk's Birthday,11/24,1870
Irgakly's Birthday,10/24,1871
Ivanovka's Birthday,06/13,1889
Khabarovsk's Birthday,06/12,1858
Konstantinogradovka's Birthday,07/18,1884
Krasnoyarsk's Birthday,08/19,1628
Lugovoe's Birthday,07/18,1766
Miasskoye's Birthday,08/01,1736
Mirny's Birthday,09/29,1960
Muranovo's Birthday,08/01,1920
Niny's Birthday,10/15,1786
Novii Sad's Birthday,05/16,2001
Novozhdamirovo's Birthday,05/12,2003
Orlovka's Birthday,06/27,1909
Panovka's Birthday,05/14,1767
Perm's Birthday,05/15,1723
Pervomayskoe's Birthday,07/28,1765
Petrozavodsk's Birthday,09/01,1703
Poim's Birthday,08/31,1694
Rybachy's Birthday,06/14,1932
Saint Petersburg's Birthday,05/27,1703
Sergeyevka's Birthday,05/30,1895
Staroturbeyevo's Birthday,05/20,1693
Tolyatti's Birthday,07/01,1737
Tyumen's Birthday,08/08,1586
Vladivostok's Birthday,07/02,1860
Yelshanka's Birthday,06/13,1765
Zheleznogorsk's Birthday,10/02,1957
