# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Altai Krai's Birthday,09/28,1937
Altai Republic's Birthday,02/08,1992
Amur Oblast's Birthday,10/20,1932
Arkhangelsk Oblast's Birthday,09/23,1937
Astrakhan Oblast's Birthday,12/27,1943
Bashkortostan's Birthday,03/20,1919
Belgorod Oblast's Birthday,01/06,1954
Bryansk Oblast's Birthday,07/05,1944
Buryatia's Birthday,04/21,1992
Chechnya's Birthday,11/30,1922
Chelyabinsk Oblast's Birthday,01/17,1934
Chukotka Autonomous Okrug's Birthday,12/10,1930
Chuvashia's Birthday,02/13,1992
Ingushetia's Birthday,06/04,1992
Irkutsk Oblast's Birthday,09/26,1937
Ivanovo Oblast's Birthday,03/11,1936
Jewish Autonomous Oblast's Birthday,05/07,1934
Kabardino-Balkaria's Birthday,01/05,1936
Kaliningrad Oblast's Birthday,04/07,1946
Kalmykia's Birthday,05/16,1992
Kaluga Oblast's Birthday,07/05,1944
Karachay-Cherkessia's Birthday,05/16,1992
Karelia's Birthday,11/13,1991
Kemerovo Oblast's Birthday,01/26,1943
Khabarovsk Krai's Birthday,10/20,1938
Khakassia's Birthday,07/03,1991
Khanty-Mansi Autonomous Okrug's Birthday,12/10,1930
Kirov Oblast's Birthday,12/07,1936
Komi Republic's Birthday,05/24,1991
Kostroma Oblast's Birthday,08/13,1944
Krasnodar Krai's Birthday,09/13,1937
Krasnoyarsk Krai's Birthday,12/07,1934
Kurgan Oblast's Birthday,02/06,1943
Kursk Oblast's Birthday,06/13,1934
Leningrad Oblast's Birthday,08/01,1927
Lipetsk Oblast's Birthday,01/06,1954
Magadan Oblast's Birthday,12/03,1953
Mari El's Birthday,01/12,1993
Mordovia's Birthday,12/25,1993
Moscow Oblast's Birthday,01/14,1929
Murmansk Oblast's Birthday,05/28,1938
Nizhny Novgorod Oblast's Birthday,01/14,1929
North Ossetia–Alania's Birthday,11/09,1993
Novgorod Oblast's Birthday,07/05,1944
Novosibirsk Oblast's Birthday,09/28,1937
Omsk Oblast's Birthday,12/07,1934
Orenburg Oblast's Birthday,12/07,1934
Oryol Oblast's Birthday,09/27,1937
Penza Oblast's Birthday,02/04,1939
Perm Krai's Birthday,09/28,1937
Primorsky Krai's Birthday,10/20,1938
Pskov Oblast's Birthday,08/23,1944
Republic of Crimea's Birthday,03/18,2014
Rostov Oblast's Birthday,09/13,1937
Ryazan Oblast's Birthday,09/26,1937
Saint Petersburg's Birthday,05/27,1703
Sakha's Birthday,09/27,1990
Sakhalin Oblast's Birthday,10/20,1932
Samara Oblast's Birthday,12/05,1936
Saratov Oblast's Birthday,12/05,1936
Smolensk Oblast's Birthday,09/27,1937
Stavropol Krai's Birthday,02/13,1924
Sverdlovsk Oblast's Birthday,01/17,1934
Tambov Oblast's Birthday,09/27,1937
Tatarstan's Birthday,08/30,1990
Tomsk Oblast's Birthday,08/13,1944
Tula Oblast's Birthday,09/26,1937
Tuva's Birthday,10/13,1944
Tver Oblast's Birthday,01/29,1935
Tyumen Oblast's Birthday,08/14,1944
Udmurtia's Birthday,11/11,1991
Ulyanovsk Oblast's Birthday,01/19,1943
Vladimir Oblast's Birthday,08/14,1944
Volgograd Oblast's Birthday,12/05,1936
Vologda Oblast's Birthday,09/23,1937
Voronezh Oblast's Birthday,06/13,1934
Yamalo-Nenets Autonomous Okrug's Birthday,12/10,1930
Yaroslavl Oblast's Birthday,03/11,1936
Zabaykalsky Krai's Birthday,03/01,2008
