# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Cojutepeque's Birthday,06/28,1858
La Unión's Birthday,02/28,1854
San Antonio Pajonal's Birthday,11/13,1945
San Francisco Gotera's Birthday,07/08,1875
San Miguel's Birthday,05/08,1530
San Salvador's Birthday,04/11,1525
San Vicente's Birthday,12/26,1635
Santa Ana's Birthday,07/26,1569
Santa Tecla's Birthday,08/08,1854
Sonsonate's Birthday,05/28,1553
