# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Ahuachapán Department's Birthday,02/09,1869
Cabañas Department's Birthday,02/10,1873
Chalatenango Department's Birthday,02/14,1855
Cuscatlán Department's Birthday,05/22,1835
La Libertad Department's Birthday,01/28,1865
La Paz Department's Birthday,02/21,1852
La Unión Department's Birthday,06/22,1865
Morazán Department's Birthday,07/14,1875
San Miguel Department's Birthday,06/22,1865
San Salvador Department's Birthday,06/12,1824
San Vicente Department's Birthday,06/12,1824
Santa Ana Department's Birthday,02/08,1855
Sonsonate Department's Birthday,06/12,1824
Usulután Department's Birthday,06/22,1865
