# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
# capped at the 150 most populous; 13 further dated place(s) omitted
Ahırlı district's Birthday,05/20,1990
Ahmetli district's Birthday,07/04,1987
Akkışla district's Birthday,07/04,1987
Akören district's Birthday,07/04,1987
Akyazı district's Birthday,09/01,1944
Alaçam district's Birthday,09/01,1944
Aladağ district's Birthday,07/04,1987
Altıeylül district's Birthday,12/06,2012
Altındağ's Birthday,03/01,1953
Araban district's Birthday,09/01,1957
Araklı district's Birthday,03/01,1953
Arifiye district's Birthday,03/22,2008
Arnavutköy's Birthday,03/22,2008
Asarcık district's Birthday,07/04,1987
Ataşehir's Birthday,03/22,2008
Avcılar's Birthday,06/03,1992
Bahçelievler's Birthday,06/03,1992
Baklan district's Birthday,05/20,1990
Balçova district's Birthday,06/03,1992
Başakşehir's Birthday,03/22,2008
Başçiftlik district's Birthday,05/20,1990
Baskil district's Birthday,06/26,1926
Battalgazi district's Birthday,07/04,1987
Bayraklı district's Birthday,03/22,2008
Bayrampaşa's Birthday,05/20,1990
Beşiktaş's Birthday,09/01,1930
Beyağaç district's Birthday,05/20,1990
Beydağ district's Birthday,07/04,1987
Beykoz's Birthday,06/01,1928
Bigadiç district's Birthday,07/01,1943
Bornova district's Birthday,04/01,1958
Bozyazı district's Birthday,07/04,1987
Buca district's Birthday,07/04,1987
Büyükçekmece's Birthday,07/04,1987
Büyükorhan district's Birthday,07/04,1987
Çameli district's Birthday,03/01,1953
Canik district's Birthday,03/22,2008
Çardak district's Birthday,04/01,1958
Çarşıbaşı district's Birthday,05/20,1990
Çat district's Birthday,06/01,1954
Çatalpınar district's Birthday,05/20,1990
Çavdarhisar district's Birthday,05/20,1990
Çelebi district's Birthday,05/20,1990
Ceylanpınar district's Birthday,01/21,1982
Çiğli district's Birthday,06/03,1992
Çobanlar district's Birthday,05/20,1990
Çukurova district's Birthday,03/22,2008
Derebucak district's Birthday,07/04,1987
Dilovası district's Birthday,03/22,2008
Düzköy district's Birthday,05/20,1990
Eğil district's Birthday,07/04,1987
Ekinözü district's Birthday,05/20,1990
Emirgazi district's Birthday,05/20,1990
Erdemli district's Birthday,06/01,1954
Erenler district's Birthday,03/22,2008
Ergene's Birthday,12/06,2012
Esenler's Birthday,12/29,1993
Esenyurt's Birthday,03/22,2008
Etimesgut district's Birthday,05/20,1990
Fatih's Birthday,09/01,1930
Felahiye district's Birthday,09/01,1957
Ferizli district's Birthday,05/20,1990
Gaziemir district's Birthday,06/03,1992
Gölmarmara district's Birthday,07/04,1987
Gömeç district's Birthday,05/20,1990
Gülyalı district's Birthday,07/04,1987
Güneysınır district's Birthday,05/20,1990
Güngören's Birthday,06/03,1992
Günyüzü district's Birthday,05/20,1990
Gürsu district's Birthday,05/20,1990
Güzelbahçe district's Birthday,12/29,1993
Hacılar district's Birthday,05/18,1990
Hadim district's Birthday,06/26,1926
Hilvan district's Birthday,06/26,1926
Horasan district's Birthday,12/04,1953
İbradı district's Birthday,05/20,1990
İlkadım's Birthday,03/22,2008
İpsala district's Birthday,06/01,1928
İskenderun district's Birthday,07/11,1939
Istanbul's Birthday,06/07,1453
İvrindi district's Birthday,09/01,1944
Kabadüz district's Birthday,05/20,1990
Kadıköy's Birthday,09/01,1930
Kapaklı's Birthday,12/06,2012
Karabağlar district's Birthday,03/22,2008
Karapürçek district's Birthday,05/18,1990
Karkamış district's Birthday,05/20,1990
Karşıyaka district's Birthday,06/01,1954
Keçiören district's Birthday,11/30,1983
Keles district's Birthday,03/01,1953
Kepsut district's Birthday,03/01,1953
Kestel district's Birthday,05/20,1990
Kiraz district's Birthday,01/01,1948
Kocaköy district's Birthday,05/20,1990
Koçarlı district's Birthday,04/01,1946
Kocasinan's Birthday,12/14,1988
Kulu district's Birthday,06/01,1954
Kumlu district's Birthday,05/20,1990
Mamak district's Birthday,11/30,1983
Manyas district's Birthday,06/15,1936
Marmara district's Birthday,07/04,1987
Melikgazi district's Birthday,12/14,1988
Menteşe district's Birthday,12/06,2012
Meram district's Birthday,06/27,1987
Merkezefendi district's Birthday,12/06,2012
Mezitli's Birthday,03/22,2008
Mihalgazi district's Birthday,05/20,1990
Narlıdere district's Birthday,06/03,1992
Nurhak district's Birthday,05/20,1990
Oğuzeli district's Birthday,04/01,1946
Özvatan district's Birthday,05/20,1990
Palandöken district's Birthday,03/22,2008
Pamukkale district's Birthday,05/20,1990
Pamukova district's Birthday,07/04,1987
Pozantı district's Birthday,06/01,1954
Pursaklar district's Birthday,03/22,2008
Şahinbey district's Birthday,06/27,1987
Salıpazarı district's Birthday,07/04,1987
Sarayönü district's Birthday,04/01,1959
Sarıcakaya district's Birthday,04/01,1958
Sarıçam district's Birthday,03/22,2008
Sarıgöl district's Birthday,09/01,1957
Sarıyer's Birthday,09/01,1930
Sarız district's Birthday,04/01,1946
Savaştepe district's Birthday,06/01,1954
Şehitkâmil district's Birthday,06/27,1987
Şehzadeler district's Birthday,12/06,2012
Senirkent district's Birthday,06/30,1952
Serdivan district's Birthday,03/22,2008
Seydikemer district's Birthday,12/06,2012
Sincan district's Birthday,11/30,1983
Süleymanpaşa district's Birthday,12/06,2012
Taraklı district's Birthday,07/04,1987
Tekkeköy district's Birthday,07/04,1987
Tepebaşı district's Birthday,03/22,2008
Torbalı district's Birthday,06/26,1926
Tunceli's Birthday,12/25,1935
Türkoğlu district's Birthday,04/01,1960
Tuzlukçu district's Birthday,05/20,1990
Ula district's Birthday,06/01,1954
Uzundere district's Birthday,07/04,1987
Yakakent district's Birthday,05/20,1990
Yakutiye district's Birthday,03/22,2008
Yalıhüyük district's Birthday,05/20,1990
Yatağan district's Birthday,09/01,1944
Yazıhan district's Birthday,05/20,1990
Yıldırım district's Birthday,06/18,1987
Yomra district's Birthday,04/01,1959
Yunak district's Birthday,03/01,1953
Yüreğir district's Birthday,06/19,1986
