# generated by scripts/fetch-colleges.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Academy of Motion Picture Arts and Sciences' Birthday,05/11,1927
Aims Community College's Birthday,01/24,1967
Army Medical School's Birthday,06/24,1893
Army University's Birthday,07/07,2015
Barton Community College's Birthday,07/15,1965
Bishop Simon Bruté College Seminary's Birthday,09/08,2004
Bishop Ward Normal and Collegiate Institute's Birthday,09/17,1883
Brandeis University's Birthday,10/20,1948
Brandeis University Department of African and African American Studies' Birthday,04/24,1969
Brigham Young University's Birthday,10/10,1875
Bristol College's Birthday,10/02,1833
Caldwell University's Birthday,08/10,1939
California Polytechnic State University's Birthday,03/08,1901
Camden Commercial College's Birthday,05/12,1903
Capstone Military Leadership Program's Birthday,05/26,1982
Catawba Valley Community College's Birthday,04/03,1958
Chatham University's Birthday,12/11,1869
Chicago State University's Birthday,09/02,1867
Cleveland Community College's Birthday,07/01,1965
Clovis Community College's Birthday,07/01,1991
Colorado State University Pueblo's Birthday,07/13,1933
Columbia University's Birthday,05/25,1754
Conservatory of Music of Puerto Rico's Birthday,06/12,1959
Cosumnes River College's Birthday,09/14,1970
Culinary Institute of America's Birthday,05/22,1946
Dartmouth College's Birthday,12/13,1769
Des Moines Area Community College's Birthday,03/18,1966
Detroit Museum of Art School's Birthday,03/18,1889
Draughon School of Business' Birthday,02/05,1900
Dwight D. Eisenhower School for National Security and Resource Strategy's Birthday,01/04,1946
East Carolina University's Birthday,03/08,1907
Federal Law Enforcement Training Center's Birthday,07/01,1970
Florida Global University's Birthday,08/13,2004
Florida Institute of Technology's Birthday,09/22,1958
Foothill College's Birthday,01/15,1957
Franklin College's Birthday,01/30,1844
Galloway Women's College's Birthday,04/18,1889
Geisel School of Medicine's Birthday,11/22,1797
Georgetown University's Birthday,01/23,1789
Georgia Tech's Birthday,10/13,1885
Global University of the Assemblies of God's Birthday,02/04,2000
Golisano College of Computing and Information Sciences' Birthday,07/01,2001
Goshen College's Birthday,09/21,1894
Hampden–Sydney College's Birthday,11/10,1775
Harvard University's Birthday,09/08,1636
Hasso Plattner Institute of Design's Birthday,10/03,2005
Heald College's Birthday,08/08,1863
Hiram College's Birthday,03/01,1850
Hochstein School of Music & Dance's Birthday,01/02,1920
Howard University's Birthday,03/02,1867
Illinois State University School of Teaching and Learning's Birthday,01/29,2013
Indiana University – Purdue University Fort Wayne's Birthday,09/17,1964
Indiana University Fort Wayne's Birthday,07/01,2018
Inter-American Defense College's Birthday,10/09,1962
Jefferson Community College's Birthday,11/07,1961
Jewell Lutheran College's Birthday,04/11,1893
Jonesboro Baptist College's Birthday,09/09,1924
Kendall College of Art and Design's Birthday,03/01,1931
Klamath Community College's Birthday,05/21,1996
L. E. Fletcher Technical Community College's Birthday,06/23,1948
Lane Community College's Birthday,10/19,1964
Laredo College's Birthday,09/28,1947
Logan University's Birthday,12/30,1938
Lutheran School of Theology at Chicago's Birthday,09/04,1962
Madera Community College's Birthday,07/20,2020
Marquette University's Birthday,08/28,1881
Maryland Agricultural College's Birthday,03/06,1856
Massachusetts Institute of Technology's Birthday,04/10,1861
Maxwell School of Citizenship and Public Affairs' Birthday,10/03,1924
"McLaughlin Hall (Detroit, Michigan)'s Birthday",05/10,1922
Medical School of Maine's Birthday,06/27,1820
Merced College's Birthday,02/27,1962
Michigan State University's Birthday,02/12,1855
Milwaukee College's Birthday,09/14,1848
Minnesota Institute for Astrophysics' Birthday,07/01,2011
MIT Computer Science and Artificial Intelligence Laboratory's Birthday,07/01,2003
Mount Angel Abbey's Birthday,10/30,1882
"Mount Saint Mary's University, Los Angeles' Birthday",09/13,1925
Multnomah Campus of Jessup University's Birthday,05/01,2024
Nashville Female Academy's Birthday,07/04,1816
National Academy of Sciences' Birthday,03/03,1863
National Research Council's Birthday,06/19,1916
National War College's Birthday,11/01,1945
Navy Supply Corps School's Birthday,01/01,1941
Nazareth University's Birthday,09/24,1924
Nevada State College's Birthday,09/03,2002
New England Culinary Institute's Birthday,06/15,1980
New York University School of Law's Birthday,06/02,1835
Nicholls State University's Birthday,09/23,1948
North American Academy of the Spanish Language's Birthday,11/05,1973
North Idaho College's Birthday,08/10,1933
Northwest Film School's Birthday,09/30,2004
Northwestern University School of Communication's Birthday,09/01,2002
Northwood University's Birthday,03/23,1959
Oklahoma State System of Higher Education's Birthday,03/11,1941
Pennsylvania State System of Higher Education's Birthday,07/01,1983
Pennsylvania State University's Birthday,02/22,1855
Pennsylvania Western University's Birthday,07/01,2022
Philadelphia College of Apothecaries' Birthday,02/21,1821
Philadelphia University's Birthday,11/05,1884
Pleasant J. Potter College's Birthday,09/09,1889
Pomona College's Birthday,10/14,1887
Princeton University Graduate College's Birthday,10/22,1913
RAF Clubs' Birthday,06/16,2026
Rhode Island School of Design's Birthday,03/22,1877
Rice University's Birthday,09/23,1912
Richmond Female Institute's Birthday,03/02,1853
Rio Salado College's Birthday,03/14,1978
Rising Above Wrestling's Birthday,11/13,2025
Rochester Institute of Technology's Birthday,06/12,1829
Roosevelt University's Birthday,04/24,1945
Rutgers University's Birthday,11/10,1766
Rutgers University–New Brunswick's Birthday,11/10,1766
Samuel Ready School's Birthday,11/01,1887
School of Data Science's Birthday,09/17,2019
St. Charles College's Birthday,02/03,1837
St. Mary's School's Birthday,04/12,1868
Stanford Doerr School of Sustainability's Birthday,09/01,2022
Stanford University's Birthday,10/01,1891
"State College of Florida, Manatee–Sarasota's Birthday",09/17,1957
State College of Washington's Birthday,03/02,1905
Stony Brook University's Birthday,09/16,1957
SUNY Polytechnic Institute's Birthday,06/14,1966
Syracuse University's Birthday,03/24,1870
Syracuse University College of Medicine's Birthday,12/04,1871
Tennessee College of Pharmacy's Birthday,10/06,1873
Texas Institute of Technology and Science's Birthday,12/13,2023
Texas Tech University Health Sciences Center El Paso's Birthday,05/20,2013
The World University's Birthday,02/24,1947
Touro University College of Medicine's Birthday,04/16,2007
"UC San Diego School of Computing, Information and Data Sciences' Birthday",07/18,2024
Union College's Birthday,02/25,1795
United States Air Force Academy's Birthday,08/14,1954
United States Military Academy's Birthday,03/16,1802
United States Naval Academy's Birthday,10/10,1845
University of Alabama's Birthday,04/18,1831
"University of California, Berkeley's Birthday",03/23,1868
"University of California, Los Angeles' Birthday",07/24,1919
"University of California, San Diego's Birthday",11/18,1960
University of Idaho's Birthday,01/30,1889
University of Illinois College of Medicine's Birthday,09/26,1882
University of Kansas' Birthday,03/21,1864
University of Kentucky College of Communications & Information Studies' Birthday,05/04,1976
University of Kentucky College of Pharmacy's Birthday,08/16,1870
University of Maryland School of Public Health's Birthday,09/26,2007
University of Michigan's Birthday,08/26,1817
"University of Nevada, Las Vegas' Birthday",09/10,1957
"University of Nevada, Reno. College of Liberal Arts' Birthday",01/01,2004
University of North Carolina at Chapel Hill's Birthday,12/11,1789
University of North Carolina at Charlotte College of Liberal Arts & Sciences' Birthday,07/01,2008
University of Notre Dame's Birthday,11/26,1842
"University of Oregon School of Planning, Public Policy and Management's Birthday",07/01,2017
University of Pennsylvania's Birthday,11/14,1740
University of Pittsburgh School of Medicine's Birthday,06/04,1883
University of Pittsburgh School of Pharmacy's Birthday,09/23,1878
University of Puerto Rico at Carolina's Birthday,09/23,1974
University of Puerto Rico at Ponce's Birthday,08/23,1970
University of Rio Grande and Rio Grande Community College's Birthday,09/13,1876
University of Southern California's Birthday,10/06,1880
University of Southern Mississippi's Birthday,03/30,1910
University of the Pacific's Birthday,07/10,1851
University of the Sciences in Philadelphia's Birthday,07/01,1998
University of the Virgin Islands' Birthday,03/16,1962
University of Virginia's Birthday,01/25,1819
University of Washington's Birthday,11/04,1861
University of Washington College of Built Environments' Birthday,01/01,2009
University of Washington College of Education's Birthday,12/15,1914
University of Washington Information School's Birthday,07/01,2001
University of Washington School of Environmental and Forest Sciences' Birthday,01/01,2012
University of Washington School of Forest Resources' Birthday,07/01,2009
Wake Technical Community College's Birthday,04/03,1958
Washington State University's Birthday,07/01,1959
Weill Cornell Medicine's Birthday,04/14,1898
West Virginia Academy of Science's Birthday,11/28,1924
Whitman College's Birthday,12/20,1859
William States Lee College of Engineering's Birthday,03/31,1994
Wilson Community College's Birthday,04/03,1958
Woman's College of Richmond's Birthday,01/30,1894
Wyoming Catholic College's Birthday,07/11,2005
Xavier University's Birthday,10/17,1831
Yale School of Public Health's Birthday,11/01,1915
