Autauga County (AL)'s Birthday,11/21,1818
Baldwin County (AL)'s Birthday,12/21,1809
Barbour County (AL)'s Birthday,12/18,1832
Bibb County (AL)'s Birthday,02/07,1818
Blount County (AL)'s Birthday,02/06,1818
Bullock County (AL)'s Birthday,12/05,1866
Butler County (AL)'s Birthday,12/13,1819
Calhoun County (AL)'s Birthday,12/18,1832
Chambers County (AL)'s Birthday,12/18,1832
Cherokee County (AL)'s Birthday,01/09,1836
Chilton County (AL)'s Birthday,12/30,1868
Choctaw County (AL)'s Birthday,12/29,1847
Clarke County (AL)'s Birthday,12/10,1812
Clay County (AL)'s Birthday,12/07,1866
Cleburne County (AL)'s Birthday,12/06,1866
Coffee County (AL)'s Birthday,12/29,1841
Colbert County (AL)'s Birthday,02/06,1867
Conecuh County (AL)'s Birthday,02/13,1818
Coosa County (AL)'s Birthday,12/18,1832
Covington County (AL)'s Birthday,12/17,1821
Crenshaw County (AL)'s Birthday,11/30,1866
Cullman County (AL)'s Birthday,01/24,1877
Dale County (AL)'s Birthday,12/22,1824
Dallas County (AL)'s Birthday,02/09,1818
DeKalb County (AL)'s Birthday,01/09,1836
Elmore County (AL)'s Birthday,02/15,1866
Escambia County (AL)'s Birthday,12/10,1868
Etowah County (AL)'s Birthday,12/01,1868
Fayette County (AL)'s Birthday,12/20,1824
Franklin County (AL)'s Birthday,02/06,1818
Geneva County (AL)'s Birthday,12/26,1868
Greene County (AL)'s Birthday,12/13,1819
Hale County (AL)'s Birthday,01/30,1867
Henry County (AL)'s Birthday,12/13,1819
Houston County (AL)'s Birthday,02/09,1903
Jackson County (AL)'s Birthday,12/13,1819
Jefferson County (AL)'s Birthday,12/13,1819
Lamar County (AL)'s Birthday,02/08,1877
Lauderdale County (AL)'s Birthday,02/06,1818
Lawrence County (AL)'s Birthday,02/06,1818
Lee County (AL)'s Birthday,12/05,1866
Limestone County (AL)'s Birthday,02/06,1818
Lowndes County (AL)'s Birthday,01/20,1830
Macon County (AL)'s Birthday,12/18,1832
Madison County (AL)'s Birthday,12/13,1808
Marengo County (AL)'s Birthday,02/06,1818
Marion County (AL)'s Birthday,02/13,1818
Marshall County (AL)'s Birthday,01/09,1836
Mobile County (AL)'s Birthday,12/18,1812
Monroe County (AL)'s Birthday,06/29,1815
Montgomery County (AL)'s Birthday,12/06,1816
Morgan County (AL)'s Birthday,02/06,1818
Perry County (AL)'s Birthday,12/13,1819
Pickens County (AL)'s Birthday,12/20,1820
Pike County (AL)'s Birthday,12/17,1821
Randolph County (AL)'s Birthday,12/18,1832
Russell County (AL)'s Birthday,12/18,1832
Shelby County (AL)'s Birthday,02/07,1818
St. Clair County (AL)'s Birthday,11/20,1818
Sumter County (AL)'s Birthday,12/18,1832
Talladega County (AL)'s Birthday,12/18,1832
Tallapoosa County (AL)'s Birthday,12/18,1832
Tuscaloosa County (AL)'s Birthday,02/06,1818
Walker County (AL)'s Birthday,12/26,1823
Washington County (AL)'s Birthday,06/04,1801
Wilcox County (AL)'s Birthday,12/13,1819
Winston County (AL)'s Birthday,02/12,1850
Aleutians East Borough (AK)'s Birthday,10/23,1987
Aleutians West Borough (AK)'s Birthday,10/23,1987
Anchorage Borough (AK)'s Birthday,01/01,1964
Bristol Bay Borough (AK)'s Birthday,10/02,1962
Chugach Borough (AK)'s Birthday,01/02,2019
Copper River Borough (AK)'s Birthday,01/02,2019
Denali Borough (AK)'s Birthday,12/07,1990
Fairbanks North Star Borough (AK)'s Birthday,01/01,1964
Haines Borough (AK)'s Birthday,08/29,1968
Juneau Borough (AK)'s Birthday,09/30,1963
Kenai Peninsula Borough (AK)'s Birthday,01/01,1964
Ketchikan Gateway Borough (AK)'s Birthday,09/06,1963
Kodiak Island (AK)'s Birthday,09/24,1963
Lake and Peninsula Borough (AK)'s Birthday,04/24,1989
Matanuska-Susitna Borough (AK)'s Birthday,01/01,1964
North Slope Borough (AK)'s Birthday,07/02,1972
Northwest Arctic Borough (AK)'s Birthday,06/02,1986
Petersburg Borough (AK)'s Birthday,01/03,2013
Prince of Wales – Hyder Borough (AK)'s Birthday,06/01,2008
Sitka Borough (AK)'s Birthday,09/24,1963
Skagway Borough (AK)'s Birthday,06/05,2007
Wrangell Borough (AK)'s Birthday,05/30,2008
Yakutat Borough (AK)'s Birthday,09/22,1992
Apache County (AZ)'s Birthday,02/24,1879
Cochise County (AZ)'s Birthday,02/01,1881
Coconino County (AZ)'s Birthday,02/18,1891
Gila County (AZ)'s Birthday,02/08,1881
Graham County (AZ)'s Birthday,03/10,1881
Greenlee County (AZ)'s Birthday,03/10,1909
La Paz County (AZ)'s Birthday,01/01,1983
Maricopa County (AZ)'s Birthday,02/14,1871
Mohave County (AZ)'s Birthday,11/09,1864
Navajo County (AZ)'s Birthday,03/21,1895
Pima County (AZ)'s Birthday,11/09,1864
Pinal County (AZ)'s Birthday,02/01,1875
Santa Cruz County (AZ)'s Birthday,03/15,1899
Yavapai County (AZ)'s Birthday,11/09,1864
Yuma County (AZ)'s Birthday,11/09,1864
Arkansas County (AR)'s Birthday,12/13,1813
Ashley County (AR)'s Birthday,11/30,1848
Baxter County (AR)'s Birthday,03/24,1873
Benton County (AR)'s Birthday,09/30,1836
Boone County (AR)'s Birthday,04/09,1869
Bradley County (AR)'s Birthday,12/18,1840
Calhoun County (AR)'s Birthday,12/06,1850
Carroll County (AR)'s Birthday,11/01,1833
Chicot County (AR)'s Birthday,10/25,1823
Clark County (AR)'s Birthday,12/15,1818
Clay County (AR)'s Birthday,03/24,1873
Cleburne County (AR)'s Birthday,02/20,1883
Cleveland County (AR)'s Birthday,04/17,1873
Columbia County (AR)'s Birthday,12/17,1852
Conway County (AR)'s Birthday,10/20,1825
Craighead County (AR)'s Birthday,02/19,1859
Crawford County (AR)'s Birthday,10/18,1820
Crittenden County (AR)'s Birthday,10/22,1825
Cross County (AR)'s Birthday,11/15,1862
Dallas County (AR)'s Birthday,01/01,1845
Desha County (AR)'s Birthday,12/12,1838
Drew County (AR)'s Birthday,11/26,1846
Faulkner County (AR)'s Birthday,04/12,1873
Franklin County (AR)'s Birthday,12/19,1837
Fulton County (AR)'s Birthday,12/21,1842
Garland County (AR)'s Birthday,04/05,1873
Grant County (AR)'s Birthday,02/04,1869
Greene County (AR)'s Birthday,11/05,1833
Hempstead County (AR)'s Birthday,12/15,1818
Hot Spring County (AR)'s Birthday,11/02,1829
Howard County (AR)'s Birthday,04/17,1873
Independence County (AR)'s Birthday,10/20,1820
Izard County (AR)'s Birthday,10/27,1825
Jackson County (AR)'s Birthday,11/05,1829
Jefferson County (AR)'s Birthday,11/02,1829
