# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
Buffalo City Metropolitan Municipality's Birthday,12/05,2000
City of Cape Town's Birthday,12/05,2000
City of Ekurhuleni Metropolitan Municipality's Birthday,12/05,2000
City of Johannesburg Metropolitan Municipality's Birthday,12/05,2000
City of Tshwane Metropolitan Municipality's Birthday,12/05,2000
eThekwini Metropolitan Municipality's Birthday,12/05,2000
Griekwastad's Birthday,04/12,1812
Mangaung Metropolitan Municipality's Birthday,12/05,2000
Nelson Mandela Bay Metropolitan Municipality's Birthday,12/05,2000
Pretoria's Birthday,11/16,1855
Theunissen's Birthday,09/13,1907
Tsolwana Local Municipality's Birthday,12/05,2000
Uitenhage's Birthday,04/25,1804
