# solar and lunar eclipses, 2026-2040
# source: NASA GSFC five millennium canon decade tables (eclipse.gsfc.nasa.gov),
# cross-checked against the Wikipedia 21st-century eclipse lists
# dates are the UTC calendar day of greatest eclipse
Annular Solar Eclipse over Alaska/Norway/Sweden/Finland/Russia (June 2039),2039-06-21
Annular Solar Eclipse over Algeria/Greece/Turkey/Russia/China/Japan (June 2030),2030-06-01
Annular Solar Eclipse over Angola/Zambia/Tanzania/India/Indonesia (May 2031),2031-05-21
Annular Solar Eclipse over Antarctica (February 2026),2026-02-17
Annular Solar Eclipse over Chile/Argentina (February 2027),2027-02-06
Annular Solar Eclipse over Chile/Bolivia/Argentina/Brazil (September 2034),2034-09-12
Annular Solar Eclipse over Colombia/Morocco/Mali/Chad/Sudan/Kenya (July 2038),2038-07-02
Annular Solar Eclipse over Cuba/Cote d'Ivoire/Ghana/Niger/Chad/Egypt (January 2038),2038-01-05
Annular Solar Eclipse over New Zealand/Pacific (March 2035),2035-03-09
Annular Solar Eclipse over Peru/Brazil/Portugal/Spain (January 2028),2028-01-26
Annular Solar Eclipse over South Atlantic (May 2032),2032-05-09
Hybrid Solar Eclipse over Pacific/Panama (November 2031),2031-11-14
Partial Lunar Eclipse (August 2026),2026-08-28
Partial Lunar Eclipse (August 2035),2035-08-19
Partial Lunar Eclipse (January 2028),2028-01-12
Partial Lunar Eclipse (July 2028),2028-07-06
Partial Lunar Eclipse (July 2037),2037-07-27
Partial Lunar Eclipse (June 2030),2030-06-15
Partial Lunar Eclipse (June 2039),2039-06-06
Partial Lunar Eclipse (November 2039),2039-11-30
Partial Lunar Eclipse (September 2034),2034-09-28
Partial Solar Eclipse over Alaska/Canada/Western Europe (August 2036),2036-08-21
Partial Solar Eclipse over Antarctica/Southern Australia/New Zealand (February 2036),2036-02-27
Partial Solar Eclipse over Asia (November 2032),2032-11-03
Partial Solar Eclipse over Australia/New Zealand/Antarctica (May 2040),2040-05-11
Partial Solar Eclipse over North Africa/Europe/Middle East (January 2037),2037-01-16
Partial Solar Eclipse over North and Central America (January 2029),2029-01-14
Partial Solar Eclipse over North and Central America (November 2040),2040-11-04
Partial Solar Eclipse over Scandinavia/Alaska/Northern Canada (June 2029),2029-06-12
Partial Solar Eclipse over Southern Argentina/Antarctica (December 2029),2029-12-05
Partial Solar Eclipse over Southern Atlantic (July 2036),2036-07-23
Partial Solar Eclipse over Southern Chile/Argentina (July 2029),2029-07-11
Partial Solar Eclipse over Southern South America/Antarctica (September 2033),2033-09-23
Penumbral Lunar Eclipse (April 2034),2034-04-03
Penumbral Lunar Eclipse (August 2027),2027-08-17
Penumbral Lunar Eclipse (December 2030),2030-12-09
Penumbral Lunar Eclipse (December 2038),2038-12-11
Penumbral Lunar Eclipse (February 2027),2027-02-20
Penumbral Lunar Eclipse (February 2035),2035-02-22
Penumbral Lunar Eclipse (January 2038),2038-01-21
Penumbral Lunar Eclipse (July 2027),2027-07-18
Penumbral Lunar Eclipse (July 2038),2038-07-16
Penumbral Lunar Eclipse (June 2031),2031-06-05
Penumbral Lunar Eclipse (June 2038),2038-06-17
Penumbral Lunar Eclipse (May 2031),2031-05-07
Penumbral Lunar Eclipse (October 2031),2031-10-30
Total Lunar Eclipse (April 2032),2032-04-25
Total Lunar Eclipse (April 2033),2033-04-14
Total Lunar Eclipse (August 2036),2036-08-07
Total Lunar Eclipse (December 2028),2028-12-31
Total Lunar Eclipse (December 2029),2029-12-20
Total Lunar Eclipse (February 2036),2036-02-11
Total Lunar Eclipse (January 2037),2037-01-31
Total Lunar Eclipse (June 2029),2029-06-26
Total Lunar Eclipse (March 2026),2026-03-03
Total Lunar Eclipse (May 2040),2040-05-26
Total Lunar Eclipse (November 2040),2040-11-18
Total Lunar Eclipse (October 2032),2032-10-18
Total Lunar Eclipse (October 2033),2033-10-08
Total Solar Eclipse over Antarctica (December 2039),2039-12-15
Total Solar Eclipse over Australia/New Zealand (July 2028),2028-07-22
Total Solar Eclipse over Australia/New Zealand (July 2037),2037-07-13
Total Solar Eclipse over Australia/New Zealand/South Pacific (December 2038),2038-12-26
Total Solar Eclipse over Botswana/South Africa/Australia (November 2030),2030-11-25
Total Solar Eclipse over China/Korea/Japan (September 2035),2035-09-02
Total Solar Eclipse over Eastern Russia/Alaska (March 2033),2033-03-30
Total Solar Eclipse over Greenland/Iceland/Spain (August 2026),2026-08-12
Total Solar Eclipse over Morocco/Spain/Egypt/Saudi Arabia (August 2027),2027-08-02
Total Solar Eclipse over Nigeria/Chad/Egypt/Iran/Pakistan/India/China (March 2034),2034-03-20
