# major meteor showers: an activity window plus the night of maximum
# source: IMO Working List of Visual Meteor Showers, cross-checked against Wikipedia
# peak dates shift by about a day year to year
Quadrantids Meteor Shower,range:12/28-01/12
Quadrantids Meteor Shower Peak,01/03
Lyrids Meteor Shower,range:04/14-04/30
Lyrids Meteor Shower Peak,04/22
Eta Aquariids Meteor Shower,range:04/19-05/28
Eta Aquariids Meteor Shower Peak,05/06
Alpha Capricornids Meteor Shower,range:07/03-08/15
Alpha Capricornids Meteor Shower Peak,07/30
Southern Delta Aquariids Meteor Shower,range:07/12-08/23
Southern Delta Aquariids Meteor Shower Peak,07/30
Perseids Meteor Shower,range:07/17-08/24
Perseids Meteor Shower Peak,08/12
Southern Taurids Meteor Shower,range:09/20-11/20
Southern Taurids Meteor Shower Peak,11/05
Orionids Meteor Shower,range:10/02-11/07
Orionids Meteor Shower Peak,10/21
Northern Taurids Meteor Shower,range:10/20-12/10
Northern Taurids Meteor Shower Peak,11/12
Leonids Meteor Shower,range:11/06-11/30
Leonids Meteor Shower Peak,11/17
Geminids Meteor Shower,range:12/04-12/17
Geminids Meteor Shower Peak,12/14
Ursids Meteor Shower,range:12/17-12/26
Ursids Meteor Shower Peak,12/22
