# generated by scripts/generate-cosmic.ts
# equinox and solstice instants from Meeus, Astronomical Algorithms ch. 27
# dates are the UTC calendar day the instant falls on
December Solstice 2026,2026-12-21
December Solstice 2027,2027-12-22
December Solstice 2028,2028-12-21
December Solstice 2029,2029-12-21
December Solstice 2030,2030-12-21
December Solstice 2031,2031-12-22
December Solstice 2032,2032-12-21
December Solstice 2033,2033-12-21
December Solstice 2034,2034-12-21
December Solstice 2035,2035-12-22
December Solstice 2036,2036-12-21
December Solstice 2037,2037-12-21
December Solstice 2038,2038-12-21
December Solstice 2039,2039-12-22
December Solstice 2040,2040-12-21
December Solstice 2041,2041-12-21
December Solstice 2042,2042-12-21
December Solstice 2043,2043-12-22
December Solstice 2044,2044-12-21
December Solstice 2045,2045-12-21
December Solstice 2046,2046-12-21
December Solstice 2047,2047-12-21
December Solstice 2048,2048-12-21
December Solstice 2049,2049-12-21
December Solstice 2050,2050-12-21
June Solstice 2026,2026-06-21
June Solstice 2027,2027-06-21
June Solstice 2028,2028-06-20
June Solstice 2029,2029-06-21
June Solstice 2030,2030-06-21
June Solstice 2031,2031-06-21
June Solstice 2032,2032-06-20
June Solstice 2033,2033-06-21
June Solstice 2034,2034-06-21
June Solstice 2035,2035-06-21
June Solstice 2036,2036-06-20
June Solstice 2037,2037-06-21
June Solstice 2038,2038-06-21
June Solstice 2039,2039-06-21
June Solstice 2040,2040-06-20
June Solstice 2041,2041-06-20
June Solstice 2042,2042-06-21
June Solstice 2043,2043-06-21
June Solstice 2044,2044-06-20
June Solstice 2045,2045-06-20
June Solstice 2046,2046-06-21
June Solstice 2047,2047-06-21
June Solstice 2048,2048-06-20
June Solstice 2049,2049-06-20
June Solstice 2050,2050-06-21
March Equinox 2026,2026-03-20
March Equinox 2027,2027-03-20
March Equinox 2028,2028-03-20
March Equinox 2029,2029-03-20
March Equinox 2030,2030-03-20
March Equinox 2031,2031-03-20
March Equinox 2032,2032-03-20
March Equinox 2033,2033-03-20
March Equinox 2034,2034-03-20
March Equinox 2035,2035-03-20
March Equinox 2036,2036-03-20
March Equinox 2037,2037-03-20
March Equinox 2038,2038-03-20
March Equinox 2039,2039-03-20
March Equinox 2040,2040-03-20
March Equinox 2041,2041-03-20
March Equinox 2042,2042-03-20
March Equinox 2043,2043-03-20
March Equinox 2044,2044-03-19
March Equinox 2045,2045-03-20
March Equinox 2046,2046-03-20
March Equinox 2047,2047-03-20
March Equinox 2048,2048-03-19
March Equinox 2049,2049-03-20
March Equinox 2050,2050-03-20
September Equinox 2026,2026-09-23
September Equinox 2027,2027-09-23
September Equinox 2028,2028-09-22
September Equinox 2029,2029-09-22
September Equinox 2030,2030-09-22
September Equinox 2031,2031-09-23
September Equinox 2032,2032-09-22
September Equinox 2033,2033-09-22
September Equinox 2034,2034-09-22
September Equinox 2035,2035-09-23
September Equinox 2036,2036-09-22
September Equinox 2037,2037-09-22
September Equinox 2038,2038-09-22
September Equinox 2039,2039-09-23
September Equinox 2040,2040-09-22
September Equinox 2041,2041-09-22
September Equinox 2042,2042-09-22
September Equinox 2043,2043-09-23
September Equinox 2044,2044-09-22
September Equinox 2045,2045-09-22
September Equinox 2046,2046-09-22
September Equinox 2047,2047-09-23
September Equinox 2048,2048-09-22
September Equinox 2049,2049-09-22
September Equinox 2050,2050-09-22
