New Year's Day,01/01
World Braille Day,01/04
National Bird Day,01/05
World Logic Day,01/14
International Day of Education,01/24
International Day of Holocaust Remembrance,01/27
International Zebra Day,01/31
World Wetlands Day,02/02
National Wear Red Day,02/07
Extraterrestrial Culture Day,02/10
Don't Cry Over Spilled Milk Day,02/11
International Day of Women and Girls in Science,02/11
World Radio Day,02/13
Valentine's Day,02/14
International Mother Language Day,02/21
National Tile Day,02/23
World Wildlife Day,03/03
World Engineering Day for Sustainable Development,03/04
International Women's Day,03/08
International Day to Combat Islamophobia,03/10
Debunking Day,03/11
Pi Day,03/14
World Contact Day,03/15
International Francophonie Day,03/20
International Color Day,03/21
World Poetry Day,03/21
International Day for the Elimination of Racial Discrimination,03/21
World Water Day,03/22
World Autism Awareness Day,04/02
International Day of Conscience,04/05
World Art Day,04/15
Earth Day,04/22
World Book and Copyright Day,04/23
International Dance Day,04/29
International Jazz Day,04/30
International Workers' Day,05/01
Flag Day (Poland),05/02
World Tuna Day,05/02
World Press Freedom Day,05/03
Star Wars Day,05/04
African World Heritage Day,05/05
World Portuguese Language Day,05/05
International Nurses Day,05/12
International Day of Light,05/16
Internet Day,05/17
World Metrology Day,05/20
World Bee Day,05/20
International Tea Day,05/21
International Day for Biological Diversity,05/22
World Milk Day,06/01
World Environment Day,06/05
World Oceans Day,06/08
International Lynx Day,06/11
Flag Day (US),06/14
Global Wind Day,06/15
Juneteenth,06/19
Canada Day,07/01
Pi Approximation Day,07/22
International Friendship Day,08/02
International Day for the World's Indigenous Peoples,08/09
International Youth Day,08/12
International Left-Handers Day,08/13
International Literacy Day,09/08
International Day of Democracy,09/15
International Talk Like a Pirate Day,09/19
International Day of Peace,09/21
International Day for Universal Access to Information,09/28
International Coffee Day,10/01
World Vegetarian Day,10/01
World Sake Day,10/01
World Teachers' Day,10/05
International Geodiversity Day,10/06
World Cotton Day,10/07
World Porridge Day,10/10
International Day of the Girl Child,10/11
World Food Day,10/16
International Day of the Intangible Cultural Heritage,10/17
United Nations Day,10/24
World Tripe Day,10/24
World Day for Audiovisual Heritage,10/27
World Coding Day,10/29
Halloween,10/31
World Vegan Day,11/01
International Day for Biosphere Reserves,11/03
World Tsunami Awareness Day,11/05
World Day of Romani Language,11/05
Guy Fawkes Day,11/05
World Science Day for Peace and Development,11/10
Armistice Day,11/11
America Recycles Day,11/15
International Day for Tolerance,11/16
International Day of Islamic Art,11/18
International Men's Day,11/19
World Egg Day,11/19
World Television Day,11/21
World Fisheries Day,11/21
World Olive Tree Day,11/26
Thanksgiving Day,11/28
International Day with Solidarity with the Palestinian People,11/29
World AIDS Day,12/01
World Futures Day,12/02
National Fritters Day,12/02
International Day of Persons with Disabilities,12/03
National Cookie Day,12/04
International Day of Banks,12/04
World Soil Day,12/05
National Brownie Day,12/08
Human Rights Day,12/10
Monkey Day,12/14
National Cupcake Day,12/15
International Migrants Day,12/18
World Arabic Language Day,12/18
Christmas Eve,12/24
Christmas Day,12/25
National Fruitcake Day,12/27
New Year's Eve,12/31
