# generated by scripts/fetch-sports.ts from Wikidata (P571 inception / P1619 official opening)
# clubs with at least 25 Wikipedia sitelinks; day-precision dates only
07 Vestur's Birthday,11/06,2007
1. FC Köln's Birthday,02/13,1948
1. FC Lokomotive Leipzig's Birthday,11/11,1893
1. FC Magdeburg's Birthday,12/22,1965
1. FC Nürnberg's Birthday,05/04,1900
1. FC Saarbrücken's Birthday,04/18,1903
1. FC Slovácko's Birthday,04/26,2000
1. FC Tatran Prešov's Birthday,05/25,1898
1. FC Union Berlin's Birthday,01/20,1966
1. FSV Mainz 05's Birthday,03/16,1905
AaB Fodbold's Birthday,05/13,1885
Aalesunds FK's Birthday,06/25,1914
Aberdeen F.C.'s Birthday,04/14,1903
AC Arles' Birthday,12/19,1912
AC Milan's Birthday,12/16,1899
AC Monza's Birthday,09/01,1912
AC Omonia's Birthday,06/04,1948
Accra Hearts of Oak SC's Birthday,11/11,1911
Adanaspor's Birthday,01/01,1954
Adelaide United Football Club's Birthday,09/12,2003
Admira Wacker's Birthday,06/17,1905
ADO Den Haag's Birthday,02/01,1905
AEK Larnaca F.C.'s Birthday,07/18,1994
AEL Limassol FC's Birthday,10/04,1930
AFC Ajax's Birthday,03/18,1900
Africa Sports d'Abidjan's Birthday,04/24,1947
AGOVV Apeldoorn's Birthday,02/25,1913
Akademisk Boldklub's Birthday,02/26,1889
Akhisar Belediyespor's Birthday,04/08,1970
Al Ahly SC's Birthday,04/24,1907
Al Hilal SFC's Birthday,10/16,1957
Al Ittihad FC's Birthday,01/04,1927
Al Masry SC's Birthday,03/18,1920
Al Sadd Sports Club's Birthday,10/21,1969
Al-Gharafa SC's Birthday,06/06,1979
Al-Nassr's Birthday,10/24,1955
Albacete Balompié's Birthday,08/01,1940
Alemannia Aachen's Birthday,12/16,1900
All England Lawn Tennis and Croquet Club's Birthday,07/23,1868
Almere City FC's Birthday,09/14,2001
América Futebol Clube's Birthday,04/30,1912
Anorthosis Famagusta FC's Birthday,01/30,1911
Apollon Limassol FC's Birthday,04/14,1954
Argentinos Juniors' Birthday,08/15,1904
Aris Limassol F.C.'s Birthday,10/03,1930
Arsenal Fútbol Club's Birthday,01/11,1957
AS Monaco FC's Birthday,08/23,1924
AS Roma's Birthday,06/07,1927
ASEC Mimosas' Birthday,11/29,1948
Association Sportive Vita Club's Birthday,01/01,1935
Asteras Tripoli F.C.'s Birthday,03/26,1931
Aston Villa F.C.'s Birthday,11/21,1874
Atalanta BC's Birthday,10/17,1907
Athletic Club's Birthday,07/18,1898
Athlitiki Enosi Larissa F.C.'s Birthday,05/17,1964
Atlético Nacional's Birthday,03/07,1947
Atromitos F.C.'s Birthday,05/31,1923
Åtvidabergs FF's Birthday,07/01,1907
Audax Italiano's Birthday,11/30,1910
Avaí Futebol Clube's Birthday,09/01,1923
AZ Alkmaar's Birthday,05/10,1967
Barcelona S.C.'s Birthday,05/01,1925
Bengaluru FC's Birthday,07/20,2013
BK Häcken's Birthday,08/02,1940
Blackpool F.C.'s Birthday,07/26,1887
Boca Juniors' Birthday,04/03,1905
Bologna F.C. 1909's Birthday,10/03,1909
Borussia Dortmund's Birthday,12/19,1909
Botafogo F.R.'s Birthday,08/12,1904
Botev Plovdiv's Birthday,03/12,1912
Breiðablik men's football's Birthday,04/12,1950
Brentford F.C.'s Birthday,10/10,1889
Brighton & Hove Albion F.C.'s Birthday,06/24,1901
Brøndby IF's Birthday,12/03,1964
Brynäs IF's Birthday,05/12,1912
Bryne FK's Birthday,04/10,1926
Busan IPark FC's Birthday,11/22,1979
C.A. Bella Vista's Birthday,10/04,1920
C.D. Guadalajara's Birthday,05/08,1906
C.D. Jorge Wilstermann's Birthday,11/24,1949
C.D. Olimpia's Birthday,06/12,1912
C.D. Palestino's Birthday,08/08,1920
C.D. Santa Clara's Birthday,05/12,1927
Caracas Fútbol Club's Birthday,12/12,1967
CD Alcoyano's Birthday,09/13,1928
CD Atlético Baleares' Birthday,11/20,1920
CD Baskonia's Birthday,01/01,1913
CD Mirandés' Birthday,05/03,1927
CE Europa's Birthday,06/05,1907
Cercle Brugge K.S.V.'s Birthday,04/09,1899
CF Pachuca's Birthday,11/28,1901
Chacarita Juniors' Birthday,05/01,1906
Charlotte FC's Birthday,12/17,2019
Charlton Athletic F.C.'s Birthday,06/09,1905
Chelsea F.C.'s Birthday,03/10,1905
Chicago Fire FC's Birthday,10/08,1997
Cliftonville F.C.'s Birthday,09/01,1879
Club Africain's Birthday,10/04,1920
Club Alianza Lima's Birthday,02/15,1921
Club Atlético Banfield's Birthday,01/21,1896
Club Atlético Belgrano's Birthday,03/19,1905
Club Atlético Colón's Birthday,05/05,1905
Club Atlético Huracán's Birthday,11/01,1908
Club Atlético Independiente's Birthday,01/01,1905
Club Atlético Lanús' Birthday,01/03,1915
Club Atlético Morelia's Birthday,05/07,1950
Club Atlético Osasuna's Birthday,10/24,1920
Club Atlético Peñarol's Birthday,09/28,1891
Club Atlético River Plate's Birthday,05/25,1901
Club Atlético Rosario Central's Birthday,12/24,1889
Club Atlético Tigre's Birthday,08/03,1902
Club Atlético Vélez Sarsfield's Birthday,01/01,1910
Club Bolívar's Birthday,04/12,1925
Club Brugge K.V.'s Birthday,11/13,1891
Club de Gimnasia y Esgrima La Plata's Birthday,06/03,1887
Club Deportivo Huachipato's Birthday,06/07,1947
Club Guaraní's Birthday,10/12,1903
Club León's Birthday,08/20,1944
Club Nacional de Football's Birthday,05/14,1899
Club Olimpia's Birthday,07/25,1902
Club Social y Deportivo Colo Colo's Birthday,04/19,1925
Club Sport Emelec's Birthday,04/28,1929
Club Sporting Cristal's Birthday,12/13,1955
