# generated by scripts/fetch-sports.ts from Wikidata (P571 inception / P1619 official opening)
# organizations with at least 25 Wikipedia sitelinks; day-precision dates only
A.O. Trikala's Birthday,07/16,1963
Akita Northern Happinets' Birthday,01/30,2009
Albanian Superliga's Birthday,06/06,1930
All Japan Pro Wrestling's Birthday,10/21,1972
Alvark Tokyo's Birthday,06/01,2016
American League's Birthday,01/28,1901
Association of National Olympic Committees of Africa's Birthday,06/28,1981
Atlanta Dream's Birthday,10/17,2007
Basketball Africa League's Birthday,02/16,2019
Basketball Association of America's Birthday,06/06,1946
Bàsquet Manresa's Birthday,10/27,1931
Big3's Birthday,01/11,2017
Botola Pro 1's Birthday,06/11,1915
Campeonato Brasileiro de Futebol Feminino's Birthday,09/18,2013
Campeonato Brasileiro Série A's Birthday,08/23,1959
Canadian Football League's Birthday,01/19,1958
Canadian Premier League's Birthday,05/06,2017
Chinese Professional Baseball League's Birthday,10/23,1989
Cloud9's Birthday,01/08,2013
Club Atlético Atlanta's Birthday,10/12,1904
Club Joventut Badalona's Birthday,03/30,1930
Club Sport Emelec's Birthday,04/28,1929
Copa Libertadores' Birthday,04/19,1960
Dai Nippon Butoku Kai's Birthday,04/17,1895
Dhivehi Premier League's Birthday,12/22,2014
División Mayor del Fútbol Profesional Colombiano's Birthday,06/26,1948
Ekstraklasa's Birthday,12/05,1926
English Football League's Birthday,04/17,1888
European Paralympic Committee's Birthday,07/02,1999
European Super League's Birthday,04/18,2021
FC Barcelona Bàsquet's Birthday,08/24,1926
Femenina . boca. campeón. si.2o22's Birthday,07/09,2009
FIFA Women's World Cup's Birthday,11/16,1991
G.S. Iraklis Thessalonikis (men's basketball)'s Birthday,12/12,1908
International Football Association Board's Birthday,06/06,1886
Iraq Stars League's Birthday,08/18,1974
K-1's Birthday,04/30,1993
Kings League's Birthday,11/10,2022
KK Crvena zvezda's Birthday,03/04,1945
Lega Nazionale Dilettanti's Birthday,08/02,1959
Lega Nazionale Professionisti's Birthday,05/16,1946
Lega Serie A's Birthday,07/01,2010
Liga MX's Birthday,10/17,1943
Liga MX Femenil's Birthday,12/05,2016
Major League Soccer's Birthday,12/17,1993
Myanmar National League's Birthday,03/04,2009
National Basketball Association's Birthday,06/06,1946
National Hockey Association's Birthday,12/02,1909
National League's Birthday,02/02,1876
National Scientific and Technical Research Council's Birthday,02/05,1958
Natus Vincere's Birthday,12/19,2009
New Japan Pro-Wrestling's Birthday,01/13,1972
North American Soccer League's Birthday,11/10,2009
Orteig Prize's Birthday,05/22,1919
Paris Basketball's Birthday,07/12,2018
Parma Basket's Birthday,08/02,2012
Peristeri B.C.'s Birthday,10/22,1971
Premier League's Birthday,02/20,1992
Real Madrid Baloncesto's Birthday,03/08,1931
Russian Paralympic Committee's Birthday,01/05,1996
SA Sports Badge's Birthday,11/28,1933
Saski Baskonia's Birthday,12/26,1959
Scottish Football League's Birthday,04/30,1890
Seoul SK Knights BC's Birthday,09/11,1997
Silbernes Lorbeerblatt's Birthday,06/23,1950
Snow Leopard's Birthday,10/12,1967
Sokol's Birthday,02/16,1862
Soviet Top League's Birthday,05/22,1936
Swedish Hockey League's Birthday,10/05,1975
Teen Choice Awards' Birthday,08/01,1999
Telekom Baskets Bonn's Birthday,04/27,1995
Tunisian Ligue Professionnelle 1's Birthday,06/09,1907
UEFA European Championship's Birthday,07/06,1960
UEFA Women's Nations League's Birthday,11/02,2022
USL Championship's Birthday,09/08,2010
USL League One's Birthday,04/02,2017
Venezuelan Professional Baseball League's Birthday,12/27,1945
Whang Youn Dai Achievement Award's Birthday,10/24,1988
Women's Super League's Birthday,03/22,2010
