# generated by scripts/generate-sports-dates.ts
# events whose date follows a rule the CSV schema cannot express
# Indianapolis 500 and Coca-Cola 600 run on the Sunday before Memorial Day (the last Monday in May)
Coca-Cola 600 2026,2026-05-24
Coca-Cola 600 2027,2027-05-30
Coca-Cola 600 2028,2028-05-28
Coca-Cola 600 2029,2029-05-27
Coca-Cola 600 2030,2030-05-26
Coca-Cola 600 2031,2031-05-25
Coca-Cola 600 2032,2032-05-30
Coca-Cola 600 2033,2033-05-29
Coca-Cola 600 2034,2034-05-28
Coca-Cola 600 2035,2035-05-27
Coca-Cola 600 2036,2036-05-25
Coca-Cola 600 2037,2037-05-24
Coca-Cola 600 2038,2038-05-30
Coca-Cola 600 2039,2039-05-29
Coca-Cola 600 2040,2040-05-27
Indianapolis 500 2026,2026-05-24
Indianapolis 500 2027,2027-05-30
Indianapolis 500 2028,2028-05-28
Indianapolis 500 2029,2029-05-27
Indianapolis 500 2030,2030-05-26
Indianapolis 500 2031,2031-05-25
Indianapolis 500 2032,2032-05-30
Indianapolis 500 2033,2033-05-29
Indianapolis 500 2034,2034-05-28
Indianapolis 500 2035,2035-05-27
Indianapolis 500 2036,2036-05-25
Indianapolis 500 2037,2037-05-24
Indianapolis 500 2038,2038-05-30
Indianapolis 500 2039,2039-05-29
Indianapolis 500 2040,2040-05-27
