# NBA calendar
# `range:` rows are the typical window a phase of the season falls in, not an exact schedule
NBA Opening Night,range:10/18-10/24
NBA Regular Season,range:10/20-04/12
NBA All-Star Weekend,range:02/13-02/18
NBA Play-In Tournament,range:04/14-04/18
NBA Playoffs,range:04/18-06/22
NBA Finals,range:06/04-06/22
NBA Draft,range:06/22-06/27
NBA Free Agency Opens,07/01
NBA Summer League,range:07/05-07/20
Naismith Basketball Hall of Fame Enshrinement,range:08/08-09/10
WNBA Regular Season,range:05/15-09/11
WNBA Finals,range:10/03-10/20
