# NCAA and US college sport
# `range:` rows are the typical window each phase falls in, not an exact schedule
College Football Regular Season,range:08/23-12/06
College Football Rivalry Week,range:11/22-11/29
College Football Conference Championships,range:12/04-12/07
College Football Playoff First Round,range:12/19-12/21
Rose Bowl,01/01
Sugar Bowl,01/01
College Football Playoff National Championship,range:01/17-01/20
NCAA Men's Basketball Regular Season,range:11/03-03/08
Selection Sunday,range:03/14-03/17
NCAA Men's Basketball Tournament,range:03/17-04/07
NCAA Men's Final Four,range:04/03-04/07
NCAA Women's Final Four,range:04/02-04/06
NCAA Baseball College World Series,range:06/12-06/25
NCAA's Birthday,03/31,1906
